代码	名称	涨幅%	现价	涨跌	买价	卖价	细分行业	流通市值	AB股总市值	扣非净利润(亿)	总量	现量	换手%	20日涨幅%	自选收益%	今开	
880464	仓储物流	-1.24	1723.55	-21.67	--  	--  		       4731.80亿	       5276.27亿	0.00	5337962	--  	          1.51	4.47	--  	1728.24	
880494	互联网	3.89	2956.52	110.58	--  	--  		       5665.46亿	       9742.14亿	0.00	29968232	--  	          5.61	8.94	--  	2849.95	
880493	软件服务	3.90	2622.36	98.49	--  	--  		      17072.96亿	      24424.36亿	0.00	50304376	--  	          5.06	9.09	--  	2543.30	
880402	生物制药	-2.93	2915.06	-88.14	--  	--  		       6643.61亿	       9042.91亿	0.00	14357214	--  	          5.06	13.82	--  	3012.38	
880410	医药商业	-1.97	1811.72	-36.44	--  	--  		       2697.31亿	       3363.06亿	0.00	12025296	--  	          7.13	18.30	--  	1868.17	
880413	批发业	3.91	826.21	31.09	--  	--  		        368.30亿	        407.57亿	0.00	787402	--  	          1.58	10.43	--  	817.36	
880361	种植业	-2.16	882.95	-19.45	--  	--  		        696.63亿	        851.63亿	0.00	3927399	--  	          4.54	-2.64	--  	896.42	
880313	石油贸易	-2.71	1107.74	-30.81	--  	--  		        303.33亿	        328.21亿	0.00	1352312	--  	          3.67	3.64	--  	1145.26	
880336	化工原料	0.80	1123.04	8.96	--  	--  		       8284.41亿	      12364.81亿	0.00	31812752	--  	          3.30	-1.50	--  	1123.43	
880398	医疗保健	-0.90	3545.02	-32.04	--  	--  		       8382.46亿	      13222.86亿	0.00	14047776	--  	          4.14	13.24	--  	3600.70	
880401	化学制药	-1.39	2205.77	-30.98	--  	--  		      14602.78亿	      17610.96亿	0.00	42045936	--  	          5.65	7.78	--  	2255.50	
880491	半导体	4.95	1932.99	91.22	--  	--  		       7586.69亿	      12170.14亿	0.00	21912008	--  	          5.44	20.45	--  	1832.69	
880446	电气设备	-0.50	922.41	-4.64	--  	--  		      11339.81亿	      15807.74亿	0.00	22585408	--  	          1.71	1.52	--  	922.57	
880492	元器件	0.62	2058.81	12.70	--  	--  		      20233.81亿	      26601.44亿	0.00	60617196	--  	          3.95	5.25	--  	2035.11	
880403	中成药	-2.93	1447.21	-43.68	--  	--  		       7028.21亿	       8021.61亿	0.00	28625764	--  	          5.52	9.28	--  	1495.91	
880329	小金属	-1.16	593.88	-6.96	--  	--  		       4379.42亿	       4983.05亿	0.00	10593191	--  	          2.01	-7.20	--  	595.45	
880916	国产软件	5.54	1939.16	101.84	--  	--  		       7335.23亿	      10149.95亿	0.00	26415440	--  	          6.12	10.48	--  	1869.18	
880716	光刻机	5.37	1362.03	69.38	--  	--  		        930.25亿	       1459.47亿	0.00	5112823	--  	          6.29	15.68	--  	1302.82	
880545	云计算	4.92	2514.26	117.89	--  	--  		      16086.58亿	      23096.02亿	0.00	54575444	--  	          4.68	9.21	--  	2431.93	
880794	远程办公	4.48	1150.24	49.33	--  	--  		       1860.31亿	       3902.19亿	0.00	7699328	--  	          8.64	15.02	--  	1133.21	
880952	芯片	3.52	1283.92	43.64	--  	--  		      19468.21亿	      28570.61亿	0.00	55056536	--  	          4.88	14.83	--  	1238.08	
880546	卫星导航	3.08	1966.87	58.86	--  	--  		       3486.66亿	       5008.69亿	0.00	16351010	--  	          5.32	8.29	--  	1949.41	
880948	人工智能	2.61	1171.01	29.74	--  	--  		      15671.06亿	      21353.64亿	0.00	32765688	--  	          3.73	9.87	--  	1144.44	
880533	物联网	2.52	1430.55	35.22	--  	--  		      13717.79亿	      21930.38亿	0.00	43492160	--  	          4.52	9.42	--  	1400.30	
880908	在线教育	1.89	1037.25	19.29	--  	--  		       5595.58亿	       8260.90亿	0.00	32724268	--  	          6.41	8.98	--  	1035.85	
880933	智能医疗	1.76	1262.70	21.84	--  	--  		       4812.78亿	       6026.52亿	0.00	14175563	--  	          4.66	10.58	--  	1257.42	
880969	无线耳机	-1.23	1260.23	-15.63	--  	--  		      10541.11亿	      15042.17亿	0.00	18476164	--  	          5.24	15.94	--  	1261.77	
880920	免疫治疗	-1.35	1286.15	-17.66	--  	--  		       2575.52亿	       3366.35亿	0.00	11539303	--  	          6.06	13.21	--  	1331.55	
880913	基因概念	-1.70	2026.73	-35.06	--  	--  		       5222.56亿	       6572.74亿	0.00	13095539	--  	          5.40	11.38	--  	2074.32	
880927	抗癌	-1.86	1793.29	-33.99	--  	--  		      10677.08亿	      11597.23亿	0.00	31481528	--  	          5.94	9.70	--  	1836.34	
880557	生物疫苗	-2.78	2832.95	-81.09	--  	--  		       4839.75亿	       5869.30亿	0.00	7719127	--  	          4.61	8.73	--  	2905.24	
880928	抗流感	-2.90	1579.08	-47.09	--  	--  		       7500.38亿	       8164.50亿	0.00	36502816	--  	          7.48	20.73	--  	1645.52	
数据来源:通达信
