代码   ,名称, 涨幅%, 收盘,成交量,总金额,RPS120,,RPS250,,RPS50,,月线反转
1,平安银行,-1.02,14.62,92485296,1345053312,30.992,,63.332,,79.573,,0.000
2007,华兰生物,-4.49,41.10,51510660,2165710336,74.993,,86.457,,91.205,91.205,0.000
2050,三花智控,-2.48,21.20,38094084,804502080,93.369,93.369,97.246,97.246,94.409,94.409,0.000
2074,国轩高科,-8.77,26.00,127471656,3468600320,99.550,99.550,97.808,97.808,94.521,94.521,0.000
2460,赣锋锂业,0.02,46.94,47280808,2196549888,98.679,98.679,98.342,98.342,93.987,93.987,0.000
2798,帝欧家居,-1.83,19.36,5296460,102861720,3.428,,59.961,,81.989,,0.000
2821,凯莱英,-4.14,158.99,3812878,611174080,75.724,,93.622,93.622,94.830,94.830,0.000
300014,亿纬锂能,-2.43,61.02,20675862,1262615040,94.156,94.156,97.443,97.443,99.382,99.382,0.000
300015,爱尔眼科,-0.10,40.30,19629430,789021696,11.520,,82.804,,92.891,92.891,0.000
300115,长盈精密,3.15,20.61,78314288,1579782784,87.974,,96.488,96.488,97.668,97.668,0.000
300357,我武生物,0.63,46.29,5526517,256657552,3.821,,89.491,,95.336,95.336,0.000
300474,景嘉微,3.94,60.91,7540400,452672960,70.947,,92.638,92.638,88.901,,0.000
300529,健帆生物,-0.10,86.50,2989399,257605904,65.945,,89.098,,94.465,94.465,0.000
300595,欧普康视,-0.98,51.35,3674894,188711696,15.791,,88.199,,96.937,96.937,0.000
300601,康泰生物,-1.55,101.90,4986899,512268512,75.892,,93.566,93.566,99.129,99.129,0.000
300638,广和通,2.68,66.18,2581913,169371072,59.567,,72.436,,96.151,96.151,0.000
300685,艾德生物,0.04,71.00,2191473,155197040,32.874,,90.362,90.362,89.913,,0.000
300725,药石科技,-3.46,73.07,3960153,292451520,62.883,,84.546,,87.693,,0.000
600036,招商银行,-0.92,35.42,67552464,2374190080,47.401,,51.391,,75.527,,0.000
600436,片仔癀,-1.38,132.44,6827787,898481984,87.412,,82.383,,82.158,,0.000
600519,贵州茅台,0.47,1076.00,3127871,3348894464,15.201,,68.643,,86.204,,0.000
600570,恒生电子,3.65,91.26,27680556,2490344960,82.158,,87.019,,93.172,93.172,0.000
600801,华新水泥,-0.80,19.84,19110708,377986560,52.683,,59.652,,87.637,,0.000
600845,宝信软件,10.00,50.47,20214232,1002429120,93.875,93.875,94.156,94.156,98.174,98.174,0.000
603027,千禾味业,2.60,20.53,7411566,149538128,22.928,,57.460,,86.316,,0.000
603127,昭衍新药,-2.69,70.99,4520751,324522848,76.510,,87.047,,92.863,92.863,0.000
603228,景旺电子,1.44,44.40,6626703,289800128,51.868,,66.002,,72.801,,0.000
603360,百傲化学,-0.82,30.18,2516212,75938328,16.634,,44.900,,94.605,94.605,0.000
603596,伯特利,-2.07,29.87,5512654,163596640,94.942,94.942,98.174,98.174,79.629,,0.000
603737,三棵树,6.97,87.58,2134489,182754608,65.608,,95.757,95.757,99.017,99.017,0.000
603986,兆易创新,4.01,294.48,7717794,2234333696,98.061,98.061,99.803,99.803,99.635,99.635,0.000
300782,卓胜微,,,,,,,,,,,
515750,科技50,,,,,,,,,,,
