代码	名称	涨幅%	现价	涨跌	买价	卖价	细分行业	流通市值	AB股总市值	扣非净利润(亿)	总量	现量	换手%	20日涨幅%	自选收益%	今开	
002050	三花智控	-2.48	21.20	-0.54	21.19	21.20	机械基件	        512.76亿	        586.32亿	10.51	380941	6098	          1.57	20.39	1.92	21.40	
002007	华兰生物	-4.49	41.10	-1.93	41.09	41.10	生物制药	        494.68亿	        576.66亿	8.92	515107	4396	          4.28	16.70	-4.37	43.11	
603127	昭衍新药	-2.69	70.99	-1.96	70.99	71.00	医疗保健	         55.94亿	        114.80亿	0.60	45208	490	          5.74	21.66	36.00	74.01	
603596	伯特利	-2.07	29.87	-0.63	29.86	29.87	汽车配件	         51.31亿	        122.04亿	2.54	55127	1079	          3.21	27.65	46.14	30.10	
002074	国轩高科	-8.77	26.00	-2.50	25.99	26.00	电气设备	        263.04亿	        295.53亿	4.09	1274717	13414	         12.60	75.79	4.21	28.11	
515750	科技50	1.19	1.186	0.014	1.186	1.187		--  	         17.95亿	0.00	1688328	100	         11.16	9.11	6.56	1.166	
300638	广和通	2.68	66.18	1.73	66.18	66.19	通信设备	         26.79亿	         88.83亿	1.11	25819	264	          6.38	5.53	10.72	64.19	
603027	千禾味业	2.60	20.53	0.52	20.53	20.54	食品	         94.75亿	         95.64亿	1.28	74116	220	          1.61	-3.66	56.56	19.97	
603360	百傲化学	-0.82	30.18	-0.25	30.17	30.18	化工原料	         56.34亿	         56.34亿	2.31	25162	106	          1.35	-13.92	57.25	30.25	
603986	兆易创新	4.01	294.48	11.36	294.48	294.49	半导体	        833.57亿	        945.50亿	3.95	77178	745	          2.73	34.14	289.06	280.82	
600436	片仔癀	-1.38	132.44	-1.85	132.43	132.44	中成药	        799.03亿	        799.03亿	11.03	68278	582	          1.13	21.26	18.79	132.95	
600845	宝信软件	10.00	50.47	4.59	50.47	--  	软件服务	        422.12亿	        575.54亿	5.90	202142	298	          2.42	50.61	149.03	47.04	
600570	恒生电子	3.65	91.26	3.21	91.25	91.26	软件服务	        732.95亿	        732.95亿	3.17	276806	2488	          3.45	14.88	21.70	87.52	
300725	药石科技	-3.46	73.07	-2.62	73.07	73.10	化工原料	         71.09亿	        105.80亿	1.11	39602	257	          4.07	6.86	0.22	77.94	
002821	凯莱英	-4.14	158.99	-6.87	158.84	158.99	生物制药	        363.83亿	        367.87亿	3.38	38129	310	          1.67	23.37	86.20	168.41	
300685	艾德生物	0.04	71.00	0.03	70.99	71.00	生物制药	         64.68亿	        104.52亿	0.92	21915	178	          2.41	6.34	59.52	70.40	
300357	我武生物	0.63	46.29	0.29	46.28	46.29	生物制药	        211.73亿	        242.37亿	2.42	55265	274	          1.21	5.66	-9.41	46.04	
300601	康泰生物	-1.55	101.90	-1.60	101.88	101.90	生物制药	        369.93亿	        657.48亿	4.16	49869	295	          1.37	17.29	104.18	103.00	
300529	健帆生物	-0.10	86.50	-0.09	86.50	86.52	医疗保健	        198.54亿	        362.14亿	3.81	29894	260	          1.30	21.83	54.46	86.00	
300015	爱尔眼科	-0.10	40.30	-0.04	40.30	40.31	医疗保健	       1012.63亿	       1248.42亿	12.35	196294	2444	          0.78	2.03	-6.56	40.00	
300595	欧普康视	-0.98	51.35	-0.51	51.32	51.35	医疗保健	        147.83亿	        207.78亿	2.02	36749	342	          1.28	8.33	79.71	51.99	
600801	华新水泥	-0.80	19.84	-0.16	19.84	19.85	水泥	        270.20亿	        415.97亿	48.01	191107	2762	          1.40	-26.33	3.31	20.00	
600519	贵州茅台	0.47	1076.00	5.00	1075.95	1076.00	白酒	      13516.69亿	      13516.69亿	305.34	31279	826	          0.25	-4.78	20.37	1070.01	
603737	三棵树	6.97	87.58	5.71	87.58	87.68	染料涂料	        161.61亿	        163.10亿	2.31	21345	206	          1.16	1.66	121.24	83.07	
600036	招商银行	-0.92	35.42	-0.33	35.41	35.42	银行	       7306.77亿	       7306.77亿	767.58	675525	6676	          0.33	-8.90	7.22	35.10	
000001	平安银行	-1.02	14.62	-0.15	14.61	14.62	银行	       2837.12亿	       2837.15亿	235.27	924853	9363	          0.48	-13.34	-1.88	14.60	
603228	景旺电子	1.44	44.40	0.63	44.40	44.41	元器件	        265.96亿	        267.45亿	5.71	66267	687	          1.11	0.73	-2.98	43.70	
002798	帝欧家居	-1.83	19.36	-0.36	19.36	19.37	家居用品	         36.74亿	         74.53亿	3.75	52965	213	          2.79	-23.66	-7.53	19.72	
300115	长盈精密	3.15	20.61	0.63	20.61	20.62	元器件	        186.61亿	        187.52亿	1.50	783143	13844	          8.65	10.93	15.33	19.87	
300782	卓胜微	1.45	428.00	6.10	427.99	428.00	元器件	        107.00亿	        428.00亿	3.17	14714	387	          5.89	4.48	-4.72	417.00	
300474	景嘉微	3.94	60.91	2.31	60.90	60.91	元器件	         87.23亿	        183.51亿	1.14	75404	703	          5.27	0.79	-11.67	58.49	
300014	亿纬锂能	-2.43	61.02	-1.52	61.01	61.02	电气设备	        499.82亿	        591.37亿	11.34	206759	2242	          2.52	20.95	1.19	62.50	
002460	赣锋锂业	0.02	46.94	0.01	46.94	46.95	小金属	        369.06亿	        512.78亿	5.84	472808	8805	          6.01	32.37	8.23	46.10	
数据来源:通达信
