,ts_code,close_x,close_y,RPS
0,000001.SZ,12.22,12.61,75.7
1,000002.SZ,28.8,26.77,65.1
2,000005.SZ,3.68,2.81,36.3
3,000006.SZ,6.55,4.73,28.5
4,000007.SZ,7.03,8.18,84.4
5,000008.SZ,4.5,3.18,27.0
6,000009.SZ,6.51,6.36,71.0
7,000010.SZ,3.43,3.48,73.7
8,000011.SZ,11.33,8.98,42.5
9,000012.SZ,5.39,4.47,50.0
10,000014.SZ,12.02,8.41,25.4
11,000016.SZ,5.42,8.59,95.0
12,000017.SZ,5.24,3.89,32.2
13,000019.SZ,8.24,7.32,59.7
14,000020.SZ,12.19,9.95,48.0
15,000021.SZ,9.06,20.52,98.8
16,000023.SZ,15.34,15.58,74.8
17,000025.SZ,31.75,19.98,15.6
18,000026.SZ,8.74,8.59,71.0
19,000027.SZ,6.35,5.44,55.3
20,000028.SZ,49.31,40.68,48.0
21,000030.SZ,5.12,5.25,75.7
22,000031.SZ,5.96,5.37,61.2
23,000032.SZ,9.91,16.6,96.3
24,000034.SZ,14.91,25.25,96.4
25,000035.SZ,5.1,4.77,66.3
26,000036.SZ,7.2,3.47,4.4
27,000037.SZ,13.93,11.61,50.0
28,000038.SZ,12.96,9.55,32.2
29,000039.SZ,14.04,7.63,7.5
30,000040.SZ,8.78,3.29,1.4
31,000042.SZ,12.38,9.63,40.5
32,000045.SZ,7.67,7.35,68.6
33,000046.SZ,6.83,3.95,10.7
34,000048.SZ,20.26,22.92,82.7
35,000049.SZ,33.46,35.07,77.4
36,000050.SZ,15.04,13.46,59.7
37,000055.SZ,6.71,4.12,13.5
38,000056.SZ,5.71,3.56,14.6
39,000058.SZ,7.04,6.96,71.9
40,000059.SZ,6.85,5.63,48.0
41,000060.SZ,4.85,3.59,32.2
42,000061.SZ,5.82,6.57,82.7
43,000062.SZ,21.68,12.22,8.9
44,000063.SZ,29.34,40.97,91.5
45,000065.SZ,10.85,7.17,19.5
46,000066.SZ,9.61,12.12,87.9
47,000068.SZ,5.82,3.51,12.4
48,000069.SZ,7.28,6.4,58.2
49,000070.SZ,14.25,9.98,25.4
50,000078.SZ,4.25,4.63,80.3
51,000088.SZ,6.75,4.6,22.2
52,000089.SZ,9.69,7.62,42.5
53,000090.SZ,6.66,4.85,30.2
54,000096.SZ,10.85,10.8,72.8
55,000099.SZ,7.55,6.11,46.1
56,000100.SZ,4.02,4.4,80.3
57,000150.SZ,12.13,5.15,2.4
58,000151.SZ,13.22,8.13,13.5
59,000153.SZ,6.64,6.7,73.7
60,000155.SZ,4.7,3.93,52.0
61,000156.SZ,11.74,9.42,44.4
62,000157.SZ,4.38,5.75,89.6
63,000158.SZ,6.75,8.8,89.1
64,000159.SZ,10.88,5.14,4.1
65,000166.SZ,5.21,4.39,52.0
66,000301.SZ,5.88,4.81,48.0
67,000333.SZ,47.14,48.38,75.7
68,000338.SZ,11.44,12.73,81.5
69,000400.SZ,10.3,13.35,89.1
70,000401.SZ,16.91,18.9,82.1
71,000402.SZ,7.9,6.66,52.0
72,000403.SZ,27.71,36.46,89.9
73,000404.SZ,4.69,3.49,32.2
74,000407.SZ,4.66,3.58,38.5
75,000408.SZ,11.85,5.89,5.2
76,000409.SZ,5.67,4.29,36.3
77,000410.SZ,7.76,5.07,18.0
78,000411.SZ,13.21,11.44,56.7
79,000413.SZ,5.81,3.05,6.2
80,000415.SZ,4.48,2.87,16.7
81,000416.SZ,5.02,4.49,59.7
82,000417.SZ,5.15,4.56,59.7
83,000419.SZ,5.06,4.07,44.4
84,000420.SZ,2.92,2.18,34.3
85,000421.SZ,5.23,4.1,40.5
86,000422.SZ,4.25,2.57,12.4
87,000423.SZ,46.35,26.72,10.7
88,000425.SZ,4.24,5.03,85.6
89,000426.SZ,6.15,5.32,56.7
90,000428.SZ,3.2,2.83,58.2
91,000429.SZ,9.14,6.85,34.3
92,000430.SZ,6.55,4.72,28.5
93,000488.SZ,6.56,4.98,36.3
94,000498.SZ,5.94,5.01,52.0
95,000501.SZ,11.32,10.92,68.6
96,000502.SZ,9.34,6.7,28.5
97,000504.SZ,16.05,6.9,2.7
98,000505.SZ,6.26,8.21,89.6
99,000506.SZ,3.47,2.79,44.4
100,000507.SZ,7.95,5.07,16.7
101,000509.SZ,2.98,1.59,6.9
102,000510.SZ,5.16,3.95,38.5
103,000513.SZ,34.07,40.09,85.3
104,000514.SZ,4.84,4.38,61.2
105,000516.SZ,5.97,4.17,25.4
106,000517.SZ,3.0,2.66,59.7
107,000518.SZ,4.0,4.66,84.9
108,000519.SZ,8.43,6.98,50.0
109,000520.SZ,3.94,3.63,63.9
