,ts_code,EPS,SMR,EPS_Stability
0,000001.SZ,37.3,31.5,4.7
1,000002.SZ,61.5,56.3,11.5
2,000011.SZ,67.4,77.2,99.7
3,000014.SZ,99.3,91.1,92.1
4,000025.SZ,90.9,23.1,58.4
5,000026.SZ,64.3,54.1,18.5
6,000029.SZ,77.6,60.7,88.0
7,000031.SZ,68.7,54.5,74.3
8,000034.SZ,63.6,24.2,86.9
9,000037.SZ,14.0,92.3,90.2
10,000039.SZ,94.1,9.8,78.1
11,000045.SZ,86.9,54.8,83.1
12,000050.SZ,27.2,96.8,50.3
13,000059.SZ,16.0,17.7,66.7
14,000060.SZ,80.1,45.2,85.9
15,000062.SZ,54.9,35.5,35.5
16,000063.SZ,86.3,82.4,81.2
17,000089.SZ,31.3,28.4,11.2
18,000096.SZ,15.6,21.6,58.5
19,000099.SZ,74.0,62.4,44.1
20,000100.SZ,58.2,4.1,34.3
21,000151.SZ,10.8,3.0,45.4
22,000157.SZ,93.2,89.1,88.1
23,000166.SZ,26.3,51.7,33.1
24,000338.SZ,85.9,41.4,54.8
25,000401.SZ,90.5,82.0,69.8
26,000407.SZ,86.4,27.0,83.5
27,000409.SZ,1.5,3.7,98.1
28,000416.SZ,65.1,32.6,73.0
29,000417.SZ,17.0,10.0,14.1
30,000423.SZ,10.7,3.3,43.7
31,000428.SZ,7.1,44.5,88.7
32,000429.SZ,42.2,36.2,22.5
33,000488.SZ,21.6,23.8,55.6
34,000502.SZ,7.3,53.5,72.5
35,000513.SZ,92.5,64.0,75.9
36,000514.SZ,98.3,98.9,91.1
37,000521.SZ,20.6,0.8,76.3
38,000532.SZ,58.1,31.1,22.4
39,000534.SZ,14.1,77.3,57.5
40,000538.SZ,47.0,29.3,4.3
41,000544.SZ,50.6,87.4,77.2
42,000548.SZ,66.7,47.7,61.1
43,000550.SZ,12.4,19.5,36.9
44,000551.SZ,70.7,49.7,26.1
45,000552.SZ,78.1,32.5,60.4
46,000555.SZ,97.4,94.5,78.8
47,000557.SZ,94.7,27.5,70.8
48,000565.SZ,15.2,87.7,40.4
49,000572.SZ,5.7,55.2,86.6
