,ts_code,trade_date_x,adj_factor_x,trade_date_y,adj_factor_y,adj_factor
0,000001.SZ,20200529,111.048,20200106,109.169,0.98
1,000002.SZ,20200529,148.412,20200106,148.412,1.0
2,000004.SZ,20200529,4.064,20200106,4.064,1.0
3,000005.SZ,20200529,9.268,20200106,9.268,1.0
4,000006.SZ,20200529,35.426,20200106,35.426,1.0
5,000007.SZ,20200529,8.284,20200106,8.284,1.0
6,000008.SZ,20200529,22.408,20200106,22.333,1.0
7,000009.SZ,20200529,8.859,20200106,8.859,1.0
8,000010.SZ,20200529,10.775,20200106,10.775,1.0
9,000011.SZ,20200529,3.752,20200106,3.604,0.96
10,000012.SZ,20200529,26.405,20200106,26.405,1.0
11,000014.SZ,20200529,5.421,20200106,5.421,1.0
12,000016.SZ,20200529,21.685,20200106,21.685,1.0
13,000017.SZ,20200529,2.683,20200106,2.683,1.0
14,000019.SZ,20200529,4.109,20200106,4.109,1.0
15,000020.SZ,20200529,1.752,20200106,1.752,1.0
16,000021.SZ,20200529,14.002,20200106,14.002,1.0
17,000023.SZ,20200529,2.667,20200106,2.667,1.0
18,000025.SZ,20200529,2.737,20200106,2.731,1.0
19,000026.SZ,20200529,7.571,20200106,7.571,1.0
20,000027.SZ,20200529,13.536,20200106,13.536,1.0
21,000028.SZ,20200529,3.943,20200106,3.943,1.0
22,000030.SZ,20200529,3.316,20200106,3.316,1.0
23,000031.SZ,20200529,14.224,20200106,14.224,1.0
24,000032.SZ,20200529,4.146,20200106,4.146,1.0
25,000034.SZ,20200529,3.042,20200106,3.014,0.99
26,000035.SZ,20200529,4.612,20200106,4.612,1.0
27,000036.SZ,20200529,10.994,20200106,10.994,1.0
28,000037.SZ,20200529,5.669,20200106,5.659,1.0
29,000038.SZ,20200529,2.924,20200106,2.924,1.0
30,000039.SZ,20200529,30.346,20200106,30.346,1.0
31,000040.SZ,20200529,4.349,20200106,4.349,1.0
32,000042.SZ,20200529,13.204,20200106,13.204,1.0
33,000045.SZ,20200529,2.928,20200106,2.928,1.0
34,000046.SZ,20200529,33.245,20200106,33.245,1.0
35,000048.SZ,20200529,6.079,20200106,6.079,1.0
36,000049.SZ,20200529,5.42,20200106,5.42,1.0
37,000050.SZ,20200529,8.373,20200106,8.323,0.99
38,000055.SZ,20200529,9.67,20200106,9.67,1.0
39,000056.SZ,20200529,4.708,20200106,4.708,1.0
40,000058.SZ,20200529,3.261,20200106,3.261,1.0
41,000059.SZ,20200529,1.7,20200106,1.622,0.95
42,000060.SZ,20200529,37.807,20200106,37.072,0.98
43,000061.SZ,20200529,21.313,20200106,21.313,1.0
44,000062.SZ,20200529,7.25,20200106,7.164,0.99
45,000063.SZ,20200529,15.787,20200106,15.787,1.0
46,000065.SZ,20200529,15.143,20200106,15.143,1.0
47,000066.SZ,20200529,10.813,20200106,10.813,1.0
48,000068.SZ,20200529,2.28,20200106,2.28,1.0
49,000069.SZ,20200529,40.462,20200106,40.462,1.0
50,000070.SZ,20200529,3.459,20200106,3.459,1.0
51,000078.SZ,20200529,20.484,20200106,20.484,1.0
52,000088.SZ,20200529,7.357,20200106,7.357,1.0
53,000089.SZ,20200529,7.018,20200106,7.018,1.0
54,000090.SZ,20200529,7.485,20200106,7.037,0.94
55,000096.SZ,20200529,2.65,20200106,2.65,1.0
56,000099.SZ,20200529,3.776,20200106,3.776,1.0
57,000100.SZ,20200529,3.167,20200106,3.094,0.98
58,000150.SZ,20200529,3.943,20200106,3.943,1.0
59,000151.SZ,20200529,2.753,20200106,2.753,1.0
60,000153.SZ,20200529,5.652,20200106,5.652,1.0
61,000156.SZ,20200529,1.027,20200106,1.027,1.0
62,000157.SZ,20200529,71.013,20200106,71.013,1.0
63,000158.SZ,20200529,2.952,20200106,2.952,1.0
64,000159.SZ,20200529,3.193,20200106,3.193,1.0
65,000166.SZ,20200529,1.429,20200106,1.429,1.0
66,000301.SZ,20200529,2.293,20200106,2.246,0.98
67,000333.SZ,20200529,4.513,20200106,4.513,1.0
68,000338.SZ,20200529,19.422,20200106,19.422,1.0
69,000400.SZ,20200529,7.638,20200106,7.638,1.0
70,000401.SZ,20200529,4.047,20200106,3.936,0.97
71,000402.SZ,20200529,35.733,20200106,35.733,1.0
72,000403.SZ,20200529,4.217,20200106,4.217,1.0
73,000404.SZ,20200529,3.336,20200106,3.317,0.99
74,000407.SZ,20200529,10.883,20200106,10.883,1.0
75,000408.SZ,20200529,5.675,20200106,5.675,1.0
76,000409.SZ,20200529,2.15,20200106,2.15,1.0
77,000410.SZ,20200529,2.889,20200106,2.889,1.0
78,000411.SZ,20200529,2.563,20200106,2.563,1.0
79,000413.SZ,20200529,4.593,20200106,4.593,1.0
80,000415.SZ,20200529,20.919,20200106,20.919,1.0
81,000416.SZ,20200529,9.637,20200106,9.569,0.99
82,000417.SZ,20200529,17.193,20200106,17.193,1.0
83,000419.SZ,20200529,14.48,20200106,14.48,1.0
84,000420.SZ,20200529,6.352,20200106,6.352,1.0
85,000421.SZ,20200529,6.854,20200106,6.854,1.0
86,000422.SZ,20200529,14.787,20200106,14.787,1.0
87,000423.SZ,20200529,10.069,20200106,10.069,1.0
88,000425.SZ,20200529,38.052,20200106,38.052,1.0
89,000426.SZ,20200529,16.932,20200106,16.932,1.0
90,000428.SZ,20200529,12.139,20200106,12.139,1.0
91,000429.SZ,20200529,3.553,20200106,3.553,1.0
92,000430.SZ,20200529,4.612,20200106,4.612,1.0
93,000488.SZ,20200529,9.281,20200106,9.281,1.0
94,000498.SZ,20200529,2.758,20200106,2.758,1.0
95,000501.SZ,20200529,6.584,20200106,6.584,1.0
96,000502.SZ,20200529,3.113,20200106,3.113,1.0
97,000503.SZ,20200529,7.615,20200106,7.615,1.0
98,000504.SZ,20200529,2.103,20200106,2.103,1.0
99,000505.SZ,20200529,3.312,20200106,3.312,1.0
100,000506.SZ,20200529,2.872,20200106,2.872,1.0
101,000507.SZ,20200529,4.518,20200106,4.518,1.0
102,000509.SZ,20200529,9.746,20200106,9.746,1.0
103,000510.SZ,20200529,10.422,20200106,10.422,1.0
104,000513.SZ,20200529,8.171,20200106,8.171,1.0
105,000514.SZ,20200529,4.32,20200106,4.32,1.0
106,000516.SZ,20200529,39.872,20200106,39.872,1.0
107,000517.SZ,20200529,12.884,20200106,12.884,1.0
108,000518.SZ,20200529,8.377,20200106,8.377,1.0
109,000519.SZ,20200529,7.937,20200106,7.901,1.0
110,000520.SZ,20200529,6.855,20200106,6.855,1.0
111,000521.SZ,20200529,5.133,20200106,5.133,1.0
112,000523.SZ,20200529,6.666,20200106,6.666,1.0
