,ts_code,new_quarter_eps,eps,smr,eps_stability,end_date,ann_date,close_x,high_x,close_y,change,pct_chg,ratio,high_y,volume_ratio,rps,decline_range,decline_range_0,new_high,new_high_flag,percent_7_rise,high,index_code,industry_name,industry_rps,cumulative_rank,period_date,code,hk_hold
0,000001.SZ,5.26,48.4,68.7,1.2,20200331,2020-04-21,12.4,13.04,13.0,-0.07,-0.54,8.6,17.3,0.74,69.0,-24.9,-24.9,-4.26,0.0,0.0,17.3,851911.SI,银行,17.6,58.0,2020-03-31,000001.SZ,8.6
1,000002.SZ,8.82,68.6,64.2,4.3,20200331,2020-04-28,27.36,26.12,25.7,-0.44,-1.68,5.25,33.6,0.91,55.2,-23.5,-23.5,-7.48,0.0,0.0,33.6,851811.SI,房地产开发,13.2,59.7,2020-03-31,000002.SZ,5.25
2,000004.SZ,-63.74,14.9,91.5,92.6,20200331,2020-04-28,21.48,29.22,28.88,0.09,0.31,,49.0,0.72,85.1,-41.1,-41.1,-19.78,0.0,0.0,49.0,851512.SI,化学制剂,44.5,57.6,2020-03-31,000004.SZ,
3,000005.SZ,-17.86,98.0,42.8,77.6,20200331,2020-04-30,3.1,2.57,2.57,0.0,0.0,0.0,4.12,0.52,37.0,-37.6,-37.6,-1.55,0.0,0.0,4.12,851641.SI,环保工程及服务,18.9,57.5,2020-03-31,000005.SZ,0.0
4,000006.SZ,15.47,42.9,87.7,46.6,20200331,2020-04-30,5.55,4.89,4.81,0.0,0.0,1.33,5.94,1.08,44.2,-19.0,-19.0,-1.05,0.0,0.0,5.94,851811.SI,房地产开发,13.2,45.2,2020-03-31,000006.SZ,1.33
5,000007.SZ,-356.03,5.7,9.5,81.6,20200331,2020-04-30,6.88,8.25,8.19,0.23,2.89,,11.69,3.04,78.8,-29.9,-29.9,-3.44,0.0,0.0,11.69,852051.SI,一般物业经营,59.9,30.1,2020-03-31,000007.SZ,
6,000008.SZ,-1111.9,58.0,3.3,76.4,20200331,2020-04-30,3.82,3.0,2.99,0.03,1.01,0.65,4.24,1.13,28.3,-29.5,-29.5,-1.24,0.0,0.0,4.24,850936.SI,铁路设备,7.9,17.1,2020-03-31,000008.SZ,0.65
7,000009.SZ,-39.06,69.7,4.6,34.4,20200331,2020-04-29,5.71,7.05,6.9,0.16,2.37,0.88,9.2,1.38,79.7,-25.0,-25.0,-2.15,0.0,0.0,9.2,852311.SI,综合,50.2,68.4,2020-03-31,000009.SZ,0.88
8,000010.SZ,-508.57,2.3,4.0,92.3,20200331,2020-04-30,2.93,4.02,4.01,0.13,3.35,,4.43,1.1,86.4,-9.5,-9.5,-0.41,0.0,0.0,4.43,857251.SI,园林工程,40.1,31.1,2020-03-31,000010.SZ,
9,000011.SZ,59.54,74.1,92.1,99.9,20200331,2020-04-30,9.68,9.85,9.49,0.38,4.17,0.0,10.78,2.3,61.2,-12.0,-12.0,-0.93,0.0,0.0,10.78,851811.SI,房地产开发,13.2,77.5,2020-03-31,000011.SZ,0.0
