,ts_code,basic_eps_yoy
0,000001.SZ,10.7914
1,000001.SZ,15.7895
13,000002.SZ,13.3987
14,000002.SZ,28.7293
60,000006.SZ,-8.3539
61,000006.SZ,-10.22
121,000011.SZ,17.1519
122,000011.SZ,-28.5242
146,000014.SZ,-86.1111
147,000014.SZ,-597.3214
257,000025.SZ,152.6525
258,000025.SZ,23.2172
270,000026.SZ,-120.0409
271,000026.SZ,17.9714
308,000029.SZ,9.7247
309,000029.SZ,17.5277
333,000031.SZ,15.0943
334,000031.SZ,47.619
367,000034.SZ,37.7074
368,000034.SZ,49.0028
404,000037.SZ,33.3333
405,000037.SZ,-83.3333
429,000039.SZ,-59.7826
430,000039.SZ,-78.5455
478,000045.SZ,200.0
479,000045.SZ,37.9167
527,000050.SZ,-11.9591
528,000050.SZ,-17.001
576,000059.SZ,-335.2268
577,000059.SZ,-13.8889
590,000060.SZ,-7.6923
591,000060.SZ,-18.1818
615,000062.SZ,-8.1007
616,000062.SZ,-5.6958
628,000063.SZ,173.0539
629,000063.SZ,156.6474
713,000088.SZ,-17.3913
714,000088.SZ,-10.8795
726,000089.SZ,-11.1145
727,000089.SZ,-16.6607
739,000090.SZ,44.4418
740,000090.SZ,42.8266
752,000096.SZ,20.0
753,000096.SZ,11.1111
765,000099.SZ,40.0
766,000099.SZ,78.2369
778,000100.SZ,-22.6033
779,000100.SZ,5.646
803,000151.SZ,-89.4961
804,000151.SZ,-96.3229
852,000157.SZ,123.0769
853,000157.SZ,158.8235
889,000166.SZ,26.32
890,000166.SZ,33.33
902,000301.SZ,33.3333
903,000301.SZ,7.4074
927,000338.SZ,6.4815
928,000338.SZ,18.6667
940,000400.SZ,113.5354
941,000400.SZ,71.4471
953,000401.SZ,31.4184
954,000401.SZ,27.5223
990,000404.SZ,-57.5699
991,000404.SZ,-2.4417
1015,000407.SZ,25.0
1016,000407.SZ,30.0
1040,000409.SZ,-1566.6667
1041,000409.SZ,-596.8222
1098,000416.SZ,42.0213
1099,000416.SZ,88.5135
1111,000417.SZ,-28.8989
1112,000417.SZ,-6.4545
1146,000420.SZ,-31.3988
1147,000420.SZ,-36.1538
1183,000423.SZ,-121.3166
1184,000423.SZ,-82.9
1220,000428.SZ,110.4478
1221,000428.SZ,11.3861
1233,000429.SZ,-25.0
1234,000429.SZ,-8.6207
1258,000488.SZ,-35.2941
1259,000488.SZ,-72.2222
1295,000502.SZ,-111.9048
1296,000502.SZ,-104.3134
1398,000513.SZ,19.8276
1399,000513.SZ,9.901
1411,000514.SZ,948.3221
1412,000514.SZ,-4.3165
1484,000521.SZ,45.9459
1485,000521.SZ,23.0892
1593,000532.SZ,29.5712
1594,000532.SZ,21.4405
1618,000534.SZ,135.3846
1619,000534.SZ,-51.222
1665,000538.SZ,19.708
1666,000538.SZ,-12.6183
1702,000541.SZ,-20.2668
1703,000541.SZ,-28.7073
1727,000544.SZ,11.6279
1728,000544.SZ,-7.1429
1776,000548.SZ,37.5
1777,000548.SZ,56.3462
1789,000550.SZ,54.5455
1790,000550.SZ,-28.0
1802,000551.SZ,27.2727
1803,000551.SZ,5.0
1815,000552.SZ,-8.4232
1816,000552.SZ,-22.2635
1852,000555.SZ,792.2197
1853,000555.SZ,-35.7932
1877,000557.SZ,-70.0
1878,000557.SZ,-86.5724
1926,000561.SZ,0.0
1927,000561.SZ,-30.0
1963,000565.SZ,50.0
1964,000565.SZ,50.0
2012,000570.SZ,-63.6364
2013,000570.SZ,0.0
2037,000572.SZ,105.2034
2038,000572.SZ,57.7877
2050,000573.SZ,24.5215
2051,000573.SZ,398.4952
2063,000576.SZ,0.0
2064,000576.SZ,321.8894
2120,000586.SZ,388.6667
2121,000586.SZ,420.0
2169,000590.SZ,211.1669
2170,000590.SZ,254.7009
2254,000598.SZ,9.0909
2255,000598.SZ,10.7143
2279,000600.SZ,48.1328
2280,000600.SZ,63.9241
2304,000603.SZ,8.3333
2305,000603.SZ,5.1386
2401,000612.SZ,123.9892
2402,000612.SZ,119.1667
2414,000613.SZ,16.6667
2415,000613.SZ,-168.75
2451,000617.SZ,6.1728
2452,000617.SZ,4.6875
2464,000619.SZ,19.2593
2465,000619.SZ,370.0787
2551,000628.SZ,90.9091
2552,000628.SZ,222.7273
2564,000629.SZ,-54.0856
2565,000629.SZ,-31.1242
2589,000631.SZ,-40.4762
2590,000631.SZ,-37.1429
2626,000635.SZ,88.8889
2627,000635.SZ,-27.5862
2711,000652.SZ,2.0029
2712,000652.SZ,37.551
2724,000655.SZ,78.6982
2725,000655.SZ,135.4839
2737,000656.SZ,75.0
2738,000656.SZ,45.8333
2787,000661.SZ,73.4797
2788,000661.SZ,47.8702
2836,000666.SZ,-35.1852
2837,000666.SZ,-26.3889
2885,000670.SZ,-15.9394
2886,000670.SZ,14.2045
2982,000680.SZ,-29.584
2983,000680.SZ,6.1224
3043,000686.SZ,230.77
3044,000686.SZ,208.33
3068,000688.SZ,-76.3314
3069,000688.SZ,-56.8099
3146,000698.SZ,-750.0
3147,000698.SZ,-226.6129
3183,000702.SZ,-83.2138
3184,000702.SZ,-93.3406
3232,000708.SZ,35.0746
3233,000708.SZ,36.6667
3281,000712.SZ,140.0
