,ts_code,basic_eps_yoy,new_quarter_eps
0,000001.SZ,10.7914,10.79
13,000002.SZ,13.3987,13.4
60,000006.SZ,-8.3539,-8.35
121,000011.SZ,17.1519,17.15
146,000014.SZ,-86.1111,-86.11
257,000025.SZ,152.6525,152.65
270,000026.SZ,-120.0409,-120.04
308,000029.SZ,9.7247,9.72
333,000031.SZ,15.0943,15.09
367,000034.SZ,37.7074,37.71
404,000037.SZ,33.3333,33.33
429,000039.SZ,-59.7826,-59.78
478,000045.SZ,200.0,200.0
527,000050.SZ,-11.9591,-11.96
576,000059.SZ,-335.2268,-335.23
590,000060.SZ,-7.6923,-7.69
615,000062.SZ,-8.1007,-8.1
628,000063.SZ,173.0539,173.05
713,000088.SZ,-17.3913,-17.39
726,000089.SZ,-11.1145,-11.11
739,000090.SZ,44.4418,44.44
752,000096.SZ,20.0,20.0
765,000099.SZ,40.0,40.0
778,000100.SZ,-22.6033,-22.6
803,000151.SZ,-89.4961,-89.5
852,000157.SZ,123.0769,123.08
889,000166.SZ,26.32,26.32
902,000301.SZ,33.3333,33.33
927,000338.SZ,6.4815,6.48
940,000400.SZ,113.5354,113.54
953,000401.SZ,31.4184,31.42
990,000404.SZ,-57.5699,-57.57
1015,000407.SZ,25.0,25.0
1040,000409.SZ,-1566.6667,-1566.67
1098,000416.SZ,42.0213,42.02
1111,000417.SZ,-28.8989,-28.9
1146,000420.SZ,-31.3988,-31.4
1183,000423.SZ,-121.3166,-121.32
1220,000428.SZ,110.4478,110.45
1233,000429.SZ,-25.0,-25.0
1258,000488.SZ,-35.2941,-35.29
1295,000502.SZ,-111.9048,-111.9
1398,000513.SZ,19.8276,19.83
1411,000514.SZ,948.3221,948.32
1484,000521.SZ,45.9459,45.95
1593,000532.SZ,29.5712,29.57
1618,000534.SZ,135.3846,135.38
1665,000538.SZ,19.708,19.71
1702,000541.SZ,-20.2668,-20.27
1727,000544.SZ,11.6279,11.63
1776,000548.SZ,37.5,37.5
1789,000550.SZ,54.5455,54.55
1802,000551.SZ,27.2727,27.27
1815,000552.SZ,-8.4232,-8.42
1852,000555.SZ,792.2197,792.22
1877,000557.SZ,-70.0,-70.0
1926,000561.SZ,0.0,0.0
1963,000565.SZ,50.0,50.0
2012,000570.SZ,-63.6364,-63.64
2037,000572.SZ,105.2034,105.2
2050,000573.SZ,24.5215,24.52
2063,000576.SZ,0.0,0.0
2120,000586.SZ,388.6667,388.67
2169,000590.SZ,211.1669,211.17
2254,000598.SZ,9.0909,9.09
2279,000600.SZ,48.1328,48.13
2304,000603.SZ,8.3333,8.33
2401,000612.SZ,123.9892,123.99
2414,000613.SZ,16.6667,16.67
2451,000617.SZ,6.1728,6.17
2464,000619.SZ,19.2593,19.26
2551,000628.SZ,90.9091,90.91
2564,000629.SZ,-54.0856,-54.09
2589,000631.SZ,-40.4762,-40.48
2626,000635.SZ,88.8889,88.89
2711,000652.SZ,2.0029,2.0
2724,000655.SZ,78.6982,78.7
2737,000656.SZ,75.0,75.0
2787,000661.SZ,73.4797,73.48
2836,000666.SZ,-35.1852,-35.19
2885,000670.SZ,-15.9394,-15.94
2982,000680.SZ,-29.584,-29.58
3043,000686.SZ,230.77,230.77
3068,000688.SZ,-76.3314,-76.33
3146,000698.SZ,-750.0,-750.0
3183,000702.SZ,-83.2138,-83.21
3232,000708.SZ,35.0746,35.07
3281,000712.SZ,140.0,140.0
3306,000715.SZ,68.1818,68.18
3331,000717.SZ,-44.8485,-44.85
3392,000722.SZ,50.0,50.0
3453,000728.SZ,35.85,35.85
3526,000735.SZ,-92.269,-92.27
3539,000736.SZ,-33.1126,-33.11
3561,000738.SZ,8.6283,8.63
3574,000739.SZ,49.3639,49.36
3587,000750.SZ,500.0,500.0
3636,000755.SZ,208.8008,208.8
3649,000756.SZ,17.0732,17.07
3734,000765.SZ,0.0,0.0
3771,000768.SZ,1.9345,1.93
3788,000776.SZ,76.79,76.79
3825,000779.SZ,31.2981,31.3
3886,000786.SZ,-82.1233,-82.12
3923,000789.SZ,20.3406,20.34
3948,000791.SZ,-12.9168,-12.92
3985,000795.SZ,30.0,30.0
4022,000798.SZ,-60.7143,-60.71
4047,000800.SZ,-74.08,-74.08
4114,000807.SZ,133.9286,133.93
4139,000810.SZ,90.625,90.62
4212,000818.SZ,-12.5,-12.5
4226,000819.SZ,15.847,15.85
4263,000822.SZ,-72.7273,-72.73
