,end_date,ts_code,basic_eps_yoy,roe,grossprofit_margin,q_sales_yoy,dt_netprofit_yoy
0,20191231,000001.SZ,10.7914,10.1966,0.0,16.4648,13.7
1,20190930,000001.SZ,15.7895,8.9454,0.0,19.393,15.6
2,20190630,000001.SZ,16.4384,6.2028,0.0,21.0098,14.9
3,20190331,000001.SZ,15.1515,3.0331,0.0,15.8781,13.2
4,20181231,000001.SZ,6.9231,10.7415,0.0,15.7895,6.6
5,20180930,000001.SZ,7.5472,8.9467,0.0,14.2064,6.4
6,20180630,000001.SZ,7.3529,5.9405,0.0,10.9023,6.5
7,20180331,000001.SZ,6.4516,2.9611,0.0,1.082,5.5
8,20171231,000001.SZ,-1.5152,10.9324,0.0,0.8001,2.46
9,20170930,000001.SZ,-2.7523,9.1144,0.0,-5.2906,2.26
10,20170630,000001.SZ,-5.5556,6.0702,0.0,-3.2162,1.77
11,20170331,000001.SZ,-11.4286,3.0319,0.0,0.6538,2.26
12,20161231,000001.SZ,1.5385,12.4283,0.0,2.9427,3.21
13,20191231,000002.SZ,13.3987,22.6117,36.2451,18.3482,14.41
14,20190930,000002.SZ,28.7293,11.2933,35.9903,20.7674,30.32
15,20190630,000002.SZ,27.7108,7.4763,36.2453,21.0203,29.16
16,20190331,000002.SZ,25.9259,0.7153,35.044000000000004,56.93,36.63
17,20181231,000002.SZ,20.4724,23.4175,37.4816,-3.2906,22.77
18,20180930,000002.SZ,26.0697,10.2572,34.7626,48.1234,31.63
19,20180630,000002.SZ,25.7576,6.8198,34.4372,46.7143,27.7
20,20180331,000002.SZ,28.5714,0.6657,34.172,65.8251,22.14
21,20171231,000002.SZ,33.6842,22.7952,34.0956,1.9236,30.34
22,20170930,000002.SZ,34.3583,9.652000000000001,31.730999999999998,11.9039,30.92
23,20170630,000002.SZ,37.5,6.4601,32.6533,-14.8922,33.5
24,20170331,000002.SZ,-16.0,0.6116,29.8041,27.2249,-16.01
25,20161231,000002.SZ,15.8537,19.6815,29.4144,6.4419,18.81
26,20190930,000003.SZ,0.0,-5.522,13.8707,-14.0771,11.78
27,20190630,000003.SZ,-188.3721,-3.8455,15.1759,-73.4588,17.63
28,20190331,000003.SZ,64.9635,-2.4275,7.6364,-63.3139,58.29
29,20181231,000003.SZ,0.0,5.5696,41.8039,0.0,-73.36
30,20180930,000003.SZ,0.0,2.2217,35.5188,0.0,0.0
31,20180630,000003.SZ,760.0,3.7046,38.3225,-71.3514,-410.9
32,20180331,000003.SZ,0.0,-6.215,14.1224,0.0,0.0
33,20171231,000003.SZ,-99.7938,3.2489999999999997,33.0114,0.0,-60.33
34,20170630,000003.SZ,-99.9794,0.4305,31.4891,0.0,177.62
35,20170331,000003.SZ,0.0,-5.8713,0.0,0.0,0.0
36,20190930,000004.SZ,-283.1715,-9.5345,75.5123,-99.49,-493.66
37,20190630,000004.SZ,-196.6102,-1.7722,75.9448,-99.1072,-25693.44
38,20190331,000004.SZ,160.0,4.7806,76.6223,41.4665,-1628.3
39,20181231,000004.SZ,-336.6667,-16.9897,81.8792,63.7234,-664.51
40,20180930,000004.SZ,52.2411,-2.0212,82.4253,143.7963,38.86
41,20180630,000004.SZ,152.5612,1.52,81.9358,328.2844,101.22
42,20180331,000004.SZ,275.0,1.5783,79.8477,595.6331,125.12
43,20171231,000004.SZ,-78.2051,6.8476,61.9412,-3.5581,-118.99
44,20170930,000004.SZ,-136.9714,-4.6012,50.3757,-63.8616,-137.83
45,20170630,000004.SZ,-226.1236,-3.1715,24.682,-79.2267,-229.9
46,20170331,000004.SZ,50.8772,-0.9797,17.1983,-19.3809,49.75
47,20161231,000004.SZ,3040.9396,38.8437,34.6221,122.1265,1731.22
48,20190930,000005.SZ,579.0323,2.9445,33.7619,33.0826,-1045.17
49,20190630,000005.SZ,663.6364,4.0895,40.5541,179.8569,-526.66
50,20190331,000005.SZ,-209.8039,-1.1991,25.6226,-44.9761,-207.47
51,20181231,000005.SZ,869.6552,10.5847,29.7082,-52.3842,-92.1182
52,20180930,000005.SZ,140.5229,0.4927,34.9791,-1.2821,120.72
53,20180630,000005.SZ,145.8333,0.6141,38.1982,-7.952999999999999,134.5815
54,20180331,000005.SZ,259.375,1.2136,38.3507,112.9477,208.1498
55,20171231,000005.SZ,-85.8674,1.1753,34.7475,64.9545,-317.3724
56,20170930,000005.SZ,-111.9048,-1.2722,29.8627,-31.0917,-341.34
57,20170630,000005.SZ,-114.0,-1.3942,30.462,-9.8151,-91.3342
58,20170331,000005.SZ,-50.0,-0.7938,34.0668,64.5492,-103.5447
59,20161231,000005.SZ,272.1477,8.9385,30.1622,242.3785,74.7985
60,20190930,000006.SZ,-10.22,7.1812,40.8421,87.6123,-9.95
