,ts_code,high,trade_date_x,adj_factor_x,trade_date_y,adj_factor_y,adj_factor
0,000001.SZ,17.12,20200528,111.048,20190521,108.031,0.972831568330812
1,000002.SZ,32.3,20200528,148.412,20190521,142.668,0.9612969301673719
2,000004.SZ,49.0,20200528,4.064,20190521,4.064,1.0
3,000005.SZ,4.12,20200528,9.268,20190521,9.268,1.0
4,000006.SZ,5.74,20200528,35.426,20190521,34.226,0.96612657370293
5,000007.SZ,11.69,20200528,8.284,20190521,8.284,1.0
6,000008.SZ,4.24,20200528,22.333,20190521,22.275,0.9974029463126315
7,000009.SZ,7.65,20200528,8.859,20190521,7.364,0.8312450615193588
8,000010.SZ,4.43,20200528,10.775,20190521,10.775,1.0
9,000011.SZ,10.78,20200528,3.752,20190521,3.604,0.9605543710021323
10,000012.SZ,6.0,20200528,26.405,20190521,23.742,0.8991478886574512
11,000014.SZ,11.4,20200528,5.421,20190521,5.381,0.9926212875853163
12,000016.SZ,13.29,20200528,21.685,20190521,21.174,0.9764353239566521
13,000017.SZ,6.49,20200528,2.683,20190521,2.683,1.0
14,000019.SZ,11.57,20200528,4.109,20190521,4.053,0.9863713798977853
15,000020.SZ,13.27,20200528,1.752,20190521,1.752,1.0
16,000021.SZ,25.88,20200528,14.002,20190521,13.834,0.9880017140408512
17,000023.SZ,20.87,20200528,2.667,20190521,2.654,0.9951256092988376
18,000025.SZ,32.73,20200528,2.737,20190521,2.731,0.9978078187796857
19,000026.SZ,13.53,20200528,7.571,20190521,7.354,0.971338000264166
20,000027.SZ,6.32,20200528,13.536,20190521,13.424,0.991725768321513
21,000028.SZ,55.45,20200528,3.943,20190521,3.904,0.9901090540197819
22,000030.SZ,7.17,20200528,3.316,20190521,3.222,0.9716525934861279
23,000031.SZ,8.05,20200528,14.224,20190521,14.224,1.0
24,000032.SZ,21.13,20200528,4.146,20190521,4.109,0.9910757356488181
25,000034.SZ,32.84,20200528,3.042,20190521,3.014,0.9907955292570677
26,000035.SZ,6.94,20200528,4.612,20190521,4.612,1.0
27,000036.SZ,5.51,20200528,10.994,20190521,7.78,0.7076587229397854
28,000037.SZ,15.08,20200528,5.669,20190521,5.659,0.9982360204621626
29,000038.SZ,17.3,20200528,2.924,20190521,2.924,1.0
30,000039.SZ,10.84,20200528,30.346,20190521,24.245,0.7989520859421341
31,000040.SZ,7.64,20200528,4.349,20190521,4.301,0.9889629799954013
32,000042.SZ,11.16,20200528,13.204,20190521,13.072,0.9900030293850347
33,000045.SZ,9.05,20200528,2.928,20190521,2.928,1.0
34,000046.SZ,6.67,20200528,33.245,20190521,32.39,0.9742818468942699
35,000048.SZ,28.14,20200528,6.079,20190521,5.901,0.970718868234907
36,000049.SZ,51.6,20200528,5.42,20190521,5.365,0.9898523985239853
37,000050.SZ,18.74,20200528,8.373,20190521,8.281,0.9890123014451214
38,000055.SZ,5.78,20200528,9.67,20190521,9.67,1.0
39,000056.SZ,6.83,20200528,4.708,20190521,4.697,0.9976635514018691
40,000058.SZ,12.01,20200528,3.261,20190521,3.243,0.9944802207911683
41,000059.SZ,6.48,20200528,1.7,20190521,1.562,0.9188235294117648
42,000060.SZ,4.98,20200528,37.807,20190521,37.072,0.9805591557119052
43,000061.SZ,10.07,20200528,21.313,20190521,21.274,0.9981701309060199
44,000062.SZ,21.2,20200528,7.25,20190521,7.164,0.9881379310344827
45,000063.SZ,56.7,20200528,15.787,20190521,15.787,1.0
46,000065.SZ,10.41,20200528,15.143,20190521,15.008,0.9910849897642474
47,000066.SZ,17.51,20200528,10.813,20190521,10.757,0.9948210487376306
48,000068.SZ,5.8,20200528,2.28,20190521,2.28,1.0
49,000069.SZ,7.93,20200528,40.462,20190521,40.462,1.0
50,000070.SZ,16.69,20200528,3.459,20190521,3.459,1.0
51,000078.SZ,7.72,20200528,20.484,20190521,20.367,0.9942882249560632
52,000088.SZ,6.94,20200528,7.357,20190521,7.317,0.9945630012233247
53,000089.SZ,11.78,20200528,7.018,20190521,6.955,0.9910230834995726
54,000090.SZ,5.29,20200528,7.037,20190521,5.21,0.7403723177490408
55,000096.SZ,12.04,20200528,2.65,20190521,2.644,0.9977358490566038
56,000099.SZ,8.34,20200528,3.776,20190521,3.765,0.9970868644067797
57,000100.SZ,7.2,20200528,3.167,20190521,3.094,0.9769497947584465
58,000150.SZ,7.64,20200528,3.943,20190521,2.816,0.714177022571646
59,000151.SZ,12.64,20200528,2.753,20190521,2.707,0.9832909553214674
60,000153.SZ,8.94,20200528,5.652,20190521,5.56,0.9837225760792638
61,000155.SZ,5.35,20200528,1.568,20190521,1.568,1.0
62,000156.SZ,13.45,20200528,1.027,20190521,1.004,0.9776046738072055
63,000157.SZ,6.86,20200528,71.013,20190521,68.268,0.9613451058256939
64,000158.SZ,14.59,20200528,2.952,20190521,2.952,1.0
65,000159.SZ,10.6,20200528,3.193,20190521,3.18,0.9959285937989352
66,000166.SZ,5.27,20200528,1.429,20190521,1.429,1.0
67,000301.SZ,5.73,20200528,2.293,20190521,2.207,0.9624945486262537
68,000333.SZ,59.43,20200528,4.513,20190521,4.397,0.974296476844671
69,000338.SZ,16.11,20200528,19.422,20190521,18.751,0.9654515497888992
70,000400.SZ,16.26,20200528,7.638,20190521,7.596,0.9945011783189317
71,000401.SZ,20.98,20200528,4.047,20190521,3.841,0.9490980973560663
72,000402.SZ,7.95,20200528,35.733,20190521,34.334,0.9608485153779421
73,000403.SZ,61.8,20200528,4.217,20190521,4.217,1.0
74,000404.SZ,4.52,20200528,3.336,20190521,3.302,0.9898081534772183
75,000407.SZ,4.31,20200528,10.883,20190521,10.883,1.0
76,000408.SZ,10.65,20200528,5.675,20190521,5.675,1.0
77,000409.SZ,6.53,20200528,2.15,20190521,2.15,1.0
78,000410.SZ,7.86,20200528,2.889,20190521,2.889,1.0
79,000411.SZ,14.54,20200528,2.563,20190521,2.537,0.9898556379243073
80,000413.SZ,6.04,20200528,4.593,20190521,4.529,0.9860657522316568
81,000415.SZ,4.27,20200528,20.919,20190521,20.919,1.0
82,000416.SZ,6.56,20200528,9.637,20190521,9.521,0.9879630590432708
83,000417.SZ,5.48,20200528,17.193,20190521,16.711,0.9719653347292501
84,000419.SZ,4.78,20200528,14.48,20190521,13.955,0.9637430939226519
85,000420.SZ,3.76,20200528,6.352,20190521,6.352,1.0
86,000421.SZ,4.96,20200528,6.854,20190521,6.711,0.9791362707907791
