,index_code,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_name,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,date,stock_totality,new_high_flag,percent_7_rise
0,850111.SI,100.0,227.0,3.52,8.0,70.5,160.0,50.66,115.0,11.5,26.0,种子生产,7.0,16.0,80.2,182.0,2020-06-24,8,0.0,0.0
1,850112.SI,68.7,156.0,2.64,6.0,95.6,217.0,8.37,19.0,3.1,7.0,粮食种植,2.6,6.0,94.3,214.0,2020-06-24,4,0.0,0.0
2,850113.SI,47.1,107.0,4.85,11.0,74.0,168.0,9.69,22.0,1.8,4.0,其他种植业,14.1,32.0,61.7,140.0,2020-06-24,6,0.0,0.0
3,850121.SI,22.9,52.0,30.84,70.0,33.9,77.0,11.01,25.0,1.3,3.0,海洋捕捞,38.8,88.0,27.8,63.0,2020-06-24,2,0.0,0.0
4,850122.SI,46.3,105.0,65.2,148.0,27.8,63.0,23.79,54.0,2.6,6.0,水产养殖,42.7,97.0,19.8,45.0,2020-06-24,7,0.0,0.0
5,850131.SI,2.2,5.0,1.32,3.0,8.4,19.0,1.32,3.0,71.8,163.0,林业,68.7,156.0,2.6,6.0,2020-06-24,3,0.0,0.0
6,850141.SI,90.7,206.0,60.79,138.0,88.1,200.0,51.1,116.0,66.1,150.0,饲料,24.2,55.0,85.9,195.0,2020-06-24,15,0.0,0.0
7,850151.SI,10.1,23.0,90.75,206.0,75.3,171.0,53.74,122.0,51.5,117.0,果蔬加工,60.4,137.0,70.0,159.0,2020-06-24,4,1.0,1.0
8,850152.SI,76.2,173.0,4.41,10.0,98.7,224.0,0.44,1.0,0.9,2.0,粮油加工,0.4,1.0,98.2,223.0,2020-06-24,3,0.0,0.0
9,850154.SI,9.7,22.0,25.11,57.0,83.3,189.0,57.27,130.0,81.9,186.0,其他农产品加工,57.7,131.0,77.1,175.0,2020-06-24,12,1.0,0.0
10,850161.SI,48.9,111.0,12.33,28.0,5.7,13.0,19.82,45.0,33.5,76.0,农业综合,6.6,15.0,4.8,11.0,2020-06-24,1,0.0,0.0
11,850171.SI,77.1,175.0,75.33,171.0,45.8,104.0,83.7,190.0,47.6,108.0,畜禽养殖,43.6,99.0,24.2,55.0,2020-06-24,13,1.0,0.0
12,850181.SI,86.8,197.0,8.81,20.0,93.0,211.0,63.0,143.0,86.3,196.0,动物保健,56.4,128.0,85.5,194.0,2020-06-24,8,2.0,0.0
13,850211.SI,18.9,43.0,46.7,106.0,1.3,3.0,36.56,83.0,27.3,62.0,石油开采,3.5,8.0,0.9,2.0,2020-06-24,3,0.0,0.0
14,850221.SI,18.5,42.0,39.65,90.0,11.0,25.0,11.45,26.0,25.1,57.0,煤炭开采,30.0,68.0,8.8,20.0,2020-06-24,29,0.0,0.0
15,850222.SI,3.5,8.0,49.34,112.0,5.3,12.0,9.25,21.0,55.5,126.0,焦炭加工,35.7,81.0,6.6,15.0,2020-06-24,9,0.0,0.0
16,850231.SI,25.1,57.0,62.11,141.0,33.0,75.0,64.76,147.0,84.1,191.0,其他采掘,82.4,187.0,28.2,64.0,2020-06-24,10,1.0,0.0
17,850241.SI,52.0,118.0,72.25,164.0,0.9,2.0,32.16,73.0,44.1,100.0,油气钻采服务,18.9,43.0,1.3,3.0,2020-06-24,14,0.0,0.0
18,850242.SI,4.8,11.0,51.1,116.0,56.8,129.0,17.62,40.0,21.1,48.0,其他采掘服务,54.6,124.0,58.1,132.0,2020-06-24,2,0.0,0.0
19,850311.SI,38.8,88.0,66.08,150.0,9.7,22.0,35.68,81.0,18.1,41.0,石油加工,9.7,22.0,5.7,13.0,2020-06-24,13,0.0,0.0
20,850313.SI,56.8,129.0,34.8,79.0,43.2,98.0,1.76,4.0,70.9,161.0,石油贸易,80.2,182.0,43.2,98.0,2020-06-24,5,0.0,0.0
21,850321.SI,34.8,79.0,73.13,166.0,3.1,7.0,24.23,55.0,32.2,73.0,纯碱,36.1,82.0,3.5,8.0,2020-06-24,5,0.0,0.0
22,850322.SI,78.9,179.0,42.29,96.0,15.9,36.0,48.02,109.0,30.8,70.0,氯碱,9.3,21.0,34.4,78.0,2020-06-24,16,0.0,1.0
23,850323.SI,88.5,201.0,44.93,102.0,89.4,203.0,92.95,211.0,98.7,224.0,无机盐,98.7,224.0,89.4,203.0,2020-06-24,7,1.0,0.0
24,850324.SI,80.2,182.0,90.31,205.0,39.6,90.0,73.57,167.0,49.8,113.0,其他化学原料,70.9,161.0,56.4,128.0,2020-06-24,8,0.0,0.0
25,850331.SI,82.4,187.0,70.04,159.0,19.4,44.0,26.43,60.0,44.9,102.0,氮肥,28.2,64.0,34.8,79.0,2020-06-24,8,0.0,0.0
26,850332.SI,26.4,60.0,46.26,105.0,4.8,11.0,33.04,75.0,10.6,24.0,磷肥,26.4,60.0,7.0,16.0,2020-06-24,3,0.0,0.0
27,850333.SI,18.1,41.0,61.67,140.0,70.9,161.0,74.89,170.0,67.4,153.0,农药,69.2,157.0,73.6,167.0,2020-06-24,25,4.0,1.0
28,850334.SI,74.0,168.0,7.93,18.0,93.8,213.0,30.84,70.0,85.0,193.0,日用化学产品,80.6,183.0,93.4,212.0,2020-06-24,10,1.0,0.0
29,850335.SI,77.5,176.0,21.59,49.0,85.9,195.0,55.95,127.0,36.1,82.0,涂料油漆油墨制造,62.1,141.0,87.7,199.0,2020-06-24,14,1.0,1.0
30,850336.SI,52.9,120.0,66.96,152.0,50.7,115.0,83.26,189.0,3.5,8.0,钾肥,70.5,160.0,25.6,58.0,2020-06-24,3,0.0,0.0
31,850337.SI,42.7,97.0,10.13,23.0,87.2,198.0,11.89,27.0,69.2,157.0,民爆用品,72.2,164.0,93.8,213.0,2020-06-24,12,0.0,0.0
32,850338.SI,71.4,162.0,74.01,168.0,12.3,28.0,25.99,59.0,53.3,121.0,纺织化学用品,42.3,96.0,18.5,42.0,2020-06-24,10,0.0,0.0
33,850339.SI,59.0,134.0,56.39,128.0,76.2,173.0,84.58,192.0,77.1,175.0,其他化学制品,81.5,185.0,79.7,181.0,2020-06-24,99,13.0,8.0
34,850341.SI,8.8,20.0,91.19,207.0,33.5,76.0,50.22,114.0,38.3,87.0,涤纶,48.5,110.0,31.3,71.0,2020-06-24,13,0.0,1.0
35,850342.SI,35.7,81.0,9.69,22.0,6.6,15.0,12.33,28.0,7.0,16.0,维纶,5.7,13.0,22.0,50.0,2020-06-24,1,0.0,0.0
36,850343.SI,89.9,204.0,80.62,183.0,17.6,40.0,22.91,52.0,26.4,60.0,粘胶,12.3,28.0,18.9,43.0,2020-06-24,4,0.0,0.0
37,850344.SI,83.3,189.0,86.78,197.0,85.0,193.0,95.59,217.0,84.6,192.0,其他纤维,59.0,134.0,91.6,208.0,2020-06-24,4,1.0,0.0
38,850345.SI,30.8,70.0,22.03,50.0,55.9,127.0,71.37,162.0,48.0,109.0,氨纶,52.0,118.0,46.7,106.0,2020-06-24,2,0.0,0.0
39,850351.SI,44.1,100.0,19.38,44.0,52.9,120.0,20.26,46.0,11.9,27.0,其他塑料制品,22.9,52.0,46.3,105.0,2020-06-24,19,0.0,0.0
40,850352.SI,10.6,24.0,88.55,201.0,44.9,102.0,78.41,178.0,61.7,140.0,合成革,44.9,102.0,37.0,84.0,2020-06-24,3,0.0,0.0
41,850353.SI,79.7,181.0,31.72,72.0,99.1,225.0,6.61,15.0,83.7,190.0,改性塑料,53.7,122.0,99.1,225.0,2020-06-24,9,1.0,0.0
42,850361.SI,38.3,87.0,71.81,163.0,18.1,41.0,63.44,144.0,47.1,107.0,轮胎,34.8,79.0,17.6,40.0,2020-06-24,8,0.0,0.0
43,850362.SI,43.2,98.0,17.62,40.0,86.8,197.0,37.89,86.0,70.0,159.0,其他橡胶制品,77.1,175.0,89.0,202.0,2020-06-24,8,1.0,0.0
44,850363.SI,28.2,64.0,58.15,132.0,11.9,27.0,52.86,120.0,15.4,35.0,炭黑,41.4,94.0,37.9,86.0,2020-06-24,3,0.0,0.0
45,850372.SI,2.6,6.0,98.68,224.0,28.6,65.0,78.85,179.0,61.2,139.0,聚氨酯,74.9,170.0,35.2,80.0,2020-06-24,9,1.0,0.0
46,850373.SI,32.6,74.0,64.32,146.0,40.5,92.0,71.81,163.0,90.3,205.0,玻纤,63.0,143.0,59.0,134.0,2020-06-24,6,1.0,0.0
47,850381.SI,61.7,140.0,17.18,39.0,53.3,121.0,10.57,24.0,37.9,86.0,复合肥,11.9,27.0,47.6,108.0,2020-06-24,7,0.0,0.0
48,850382.SI,61.2,139.0,26.43,60.0,37.0,84.0,45.37,103.0,40.1,91.0,氟化工及制冷剂,56.8,129.0,42.3,96.0,2020-06-24,5,0.0,0.0
