,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma10,ma_v_10,ma50,ma_v_50
0,000001.SZ,20200623,12.65,12.69,12.52,12.6,12.64,-0.040000000000000924,-0.3165,990806.73,1248046.646,12.73,1137104.868,12.892,1002396.31,13.1082,806744.3642
1,000001.SZ,20200622,12.74,12.76,12.62,12.64,12.8,-0.16000000000000014,-1.25,1319079.79,1671023.278,12.788,1082555.342,12.999,950745.644,13.1067,795099.305
2,000001.SZ,20200619,12.73,12.84,12.61,12.8,12.76,0.040000000000000924,0.3135,1539521.78,1954584.919,12.824,950801.998,13.097,877434.855,13.1052,779292.032
3,000001.SZ,20200618,12.76,12.8,12.59,12.76,12.85,-0.08999999999999986,-0.7004,1119647.8,1419972.017,12.862,849007.756,13.176,761785.367,13.1024,765907.8706
4,000001.SZ,20200617,12.89,12.92,12.76,12.85,12.89,-0.040000000000000924,-0.3103,716468.24,918251.153,12.926,894886.16,13.257,708127.22,13.0951,760021.8774
5,000001.SZ,20200616,12.9,12.99,12.86,12.89,12.82,0.07000000000000028,0.546,718059.1,927043.687,13.054,867687.752,13.326,732160.704,13.0931,756059.8134
6,000001.SZ,20200615,12.85,12.97,12.8,12.82,12.99,-0.16999999999999993,-1.3087,660313.07,850767.506,13.21,818935.946,13.392,748700.682,13.0888,752115.3522
7,000001.SZ,20200612,12.9,13.02,12.87,12.99,13.08,-0.08999999999999986,-0.6881,1030550.57,1331618.728,13.37,804067.712,13.442,770965.43,13.084,749176.4968
8,000001.SZ,20200611,13.38,13.39,13.0,13.08,13.49,-0.41000000000000014,-3.0393,1349039.82,1774199.978,13.49,674562.978,13.443,713691.195,13.0787,741800.2612
9,000001.SZ,20200610,13.71,13.71,13.4,13.49,13.67,-0.17999999999999972,-1.3168,580476.2,781995.749,13.588,521368.28,13.442,674863.244,13.0756,727879.8424
10,000001.SZ,20200609,13.64,13.73,13.53,13.67,13.62,0.05000000000000071,0.3671,474300.07,646895.834,13.598,596633.656,13.371,665111.918,13.0626,737774.167
11,000001.SZ,20200608,13.68,13.85,13.58,13.62,13.59,0.02999999999999936,0.2208,585971.9,802115.792,13.574,678465.418,13.2859,657303.151,13.0422,751027.3204
12,000001.SZ,20200605,13.6,13.62,13.43,13.59,13.57,0.019999999999999574,0.1474,383026.9,517232.135,13.514,737863.148,13.198,639723.039,13.0178,762911.8876
13,000001.SZ,20200604,13.53,13.64,13.41,13.57,13.54,0.030000000000001137,0.2216,583066.33,788707.63,13.396,752819.412,13.1091,687044.082,12.9849,776673.6224
14,000001.SZ,20200603,13.64,13.88,13.5,13.54,13.55,-0.010000000000001563,-0.0738,956803.08,1308782.294,13.296,828358.208,13.0695,683968.649,12.9596,796579.355
15,000001.SZ,20200602,13.29,13.63,13.28,13.55,13.32,0.23000000000000043,1.7267,883458.88,1194375.822,13.144,733590.18,13.0436,657373.448,12.9293,815272.436
16,000001.SZ,20200601,13.1,13.39,13.08,13.32,13.0,0.3200000000000003,2.4615,882960.55,1173619.006,12.9979,636140.884,13.002,629064.424,12.9082,825298.9458
17,000001.SZ,20200529,13.01,13.04,12.92,13.0,13.07,-0.07000000000000028,-0.5356,457808.22,594502.123,12.882,541582.93,12.9677,604489.226,12.9054,831196.716
18,000001.SZ,20200528,12.87,13.18,12.81,13.07,12.78,0.2900000000000009,2.2692,960760.31,1255226.999,12.8223,621268.752,12.9683,634387.851,12.9158,850164.5952
19,000001.SZ,20200527,12.8292,12.9668,12.7407,12.78,12.8194,-0.039400000000000546,-0.3073,482962.94,630305.864,12.843,539579.09,12.9688,632779.029,12.9399,854344.705
20,000001.SZ,20200526,12.7997,12.8488,12.721,12.8194,12.7407,0.07869999999999955,0.6177,396212.4,515451.849,12.9432,581156.716,13.0307,648518.614,12.9729,864415.3884
21,000001.SZ,20200525,12.7505,12.7604,12.5441,12.7407,12.7014,0.03930000000000078,0.3094,410170.78,528769.352,13.0061,621987.964,13.1044,664748.488,13.0053,872778.7732
22,000001.SZ,20200522,13.1044,13.1143,12.7014,12.7014,13.1733,-0.47189999999999976,-3.5822,856237.33,1119433.491,13.0533,667395.522,13.2067,685017.639,13.0407,887932.657
23,000001.SZ,20200521,13.2912,13.3404,13.1339,13.1733,13.2814,-0.10810000000000031,-0.8139,552312.0,742797.057,13.1143,647506.95,13.3079,692872.076,13.0708,904123.7812
24,000001.SZ,20200520,13.1536,13.3895,13.0455,13.2814,13.1339,0.14749999999999908,1.123,690851.07,929928.885,13.0946,725978.968,13.3365,703915.799,13.1029,917648.1618
25,000001.SZ,20200519,13.1831,13.2224,13.0455,13.1339,12.9766,0.1573000000000011,1.2122,600368.64,801755.671,13.1182,715880.512,13.362,735730.494,13.1398,957563.1872
26,000001.SZ,20200518,12.9766,13.1143,12.898,12.9766,13.0061,-0.029500000000000526,-0.2268,637208.57,843479.669,13.2028,707509.012,13.4181,757647.673,13.166,962807.719
27,000001.SZ,20200515,13.1634,13.2028,12.9177,13.0061,13.075,-0.0688999999999993,-0.527,756794.47,1004313.267,13.3601,702639.756,13.4987,804799.055,13.1959,973135.234
28,000001.SZ,20200514,13.3207,13.36,12.9963,13.075,13.3994,-0.3244000000000007,-2.421,944672.09,1259440.848,13.5016,738237.202,13.5272,806276.025,13.2265,980330.9578
29,000001.SZ,20200513,13.5173,13.5468,13.3011,13.3994,13.5567,-0.15729999999999933,-1.1603,640358.79,871062.043,13.5783,681852.63,13.5469,805491.806,13.2501,987450.405
30,000001.SZ,20200512,13.714,13.8123,13.4878,13.5567,13.7631,-0.20640000000000036,-1.4997,558511.14,772109.502,13.6058,755580.476,13.5085,798056.088,13.2792,994148.6472
31,000001.SZ,20200511,13.6845,13.8909,13.6648,13.7631,13.714,0.049099999999999255,0.358,612862.29,859156.594,13.6334,807786.334,13.4535,806903.937,13.3028,1006510.4074
32,000001.SZ,20200508,13.5272,13.7828,13.4485,13.714,13.4584,0.25560000000000116,1.8992,934781.7,1297924.588,13.6373,906958.354,13.3778,848897.982,13.3233,1017144.662
33,000001.SZ,20200507,13.5272,13.5272,13.3699,13.4584,13.537,-0.07860000000000156,-0.5806,662749.23,904349.531,13.5527,874314.848,13.3286,967664.646,13.3484,1022284.918
34,000001.SZ,20200506,13.5272,13.655,13.3797,13.537,13.6943,-0.15729999999999933,-1.1487,1008998.02,1382727.481,13.5154,929130.982,13.2598,983235.306,13.3856,1028931.3538
35,000001.SZ,20200430,13.7828,14.0777,13.6451,13.6943,13.7828,-0.0884999999999998,-0.6421,819540.43,1155968.238,13.4112,840531.7,13.1733,1015451.981,13.4214,1033460.2802
36,000001.SZ,20200429,13.2519,13.8614,13.2224,13.7828,13.2912,0.49160000000000004,3.6987,1108722.39,1541638.203,13.2735,806021.54,13.0504,1012413.436,13.4471,1034551.6102
37,000001.SZ,20200428,13.2224,13.3306,13.0455,13.2912,13.2716,0.019600000000000506,0.1477,771564.17,1038718.08,13.1182,790837.61,12.9373,967180.837,13.4703,1031849.4094
38,000001.SZ,20200427,13.075,13.4092,13.0258,13.2716,13.016,0.2555999999999994,1.9637,936829.9,1263809.737,13.1044,1061014.444,12.8724,958633.107,13.5067,1047292.0462
39,000001.SZ,20200424,12.9472,13.0553,12.8882,13.016,13.0061,0.00990000000000002,0.0761,566001.61,747473.77,13.0042,1037339.63,12.783,909571.557,13.5368,1058804.1428
40,000001.SZ,20200423,13.0061,13.0848,12.8882,13.0061,13.0061,0.0,0.0,646989.63,855052.11,12.9353,1190372.262,12.7387,919638.891,13.5645,1067748.2162
41,000001.SZ,20200422,13.1438,13.1929,12.9373,13.0061,13.2224,-0.21630000000000038,-1.6359,1032802.74,1368222.854,12.8272,1218805.332,12.6906,895795.305,13.5948,1076218.4878
42,000001.SZ,20200421,13.075,13.4682,13.075,13.2224,12.7702,0.4521999999999995,3.5411,2122448.34,2861879.086,12.7564,1143524.064,12.6463,845386.645,13.6255,1083712.5818
43,000001.SZ,20200420,12.6424,12.8292,12.5539,12.7702,12.6719,0.09830000000000005,0.7757,818455.83,1058524.019,12.6404,856251.77,12.5903,720173.182,13.6461,1068053.5198
44,000001.SZ,20200417,12.5539,12.8194,12.436,12.6719,12.4654,0.20650000000000013,1.6566,1331164.77,1713215.766,12.5618,781803.484,12.5529,720862.413,13.6782,1070181.4624
45,000001.SZ,20200416,12.5736,12.5736,12.3278,12.4654,12.6522,-0.18679999999999986,-1.4764,789154.98,997623.816,12.5421,648905.52,12.5608,639582.44,13.7151,1067274.4814
46,000001.SZ,20200415,12.6424,12.7112,12.5638,12.6522,12.6424,0.009800000000000253,0.0775,656396.4,843649.273,12.5539,572785.278,12.5814,612750.546,13.7535,1081318.986
47,000001.SZ,20200414,12.436,12.6424,12.3573,12.6424,12.377,0.26539999999999964,2.1443,686086.87,874856.562,12.5362,547249.226,12.5746,598447.936,13.7875,1102314.4994
48,000001.SZ,20200413,12.4556,12.4949,12.259,12.377,12.5736,-0.1966000000000001,-1.5636,446214.4,562008.05,12.5402,584094.594,12.5824,596013.128,13.8097,1133776.6586
49,000001.SZ,20200410,12.5441,12.7604,12.436,12.5736,12.5244,0.0492000000000008,0.3928,666674.95,853689.95,12.5441,659921.342,12.6375,616693.576,13.8677,1146864.212
50,000001.SZ,20200409,12.6621,12.6719,12.5048,12.5244,12.5638,-0.039400000000000546,-0.3136,408553.77,522027.888,12.5795,630259.36,12.664,657545.324,13.9326,1147920.0112
51,000001.SZ,20200408,12.6621,12.7014,12.5048,12.5638,12.6621,-0.09830000000000005,-0.7763,528716.14,676604.872,12.609,652715.814,12.6768,730385.721,13.9967,1157680.9978
52,000001.SZ,20200407,12.6719,12.721,12.5932,12.6621,12.3966,0.2655000000000012,2.1417,870313.71,1121200.115,12.6129,649646.646,12.6601,795534.133,14.0688,1162028.17
53,000001.SZ,20200403,12.6031,12.6719,12.3376,12.3966,12.7505,-0.3539000000000012,-2.7756,825348.14,1047282.4,12.6247,607931.662,12.5883,815614.126,14.1379,1156730.6296
54,000001.SZ,20200402,12.5343,12.7505,12.4458,12.7505,12.6719,0.07859999999999978,0.6203,518365.04,663197.628,12.7309,573465.81,12.5795,890914.608,14.211,1160785.7602
55,000001.SZ,20200401,12.6424,12.9078,12.6031,12.6719,12.5834,0.08850000000000158,0.7033,520836.04,676070.117,12.7486,684831.288,12.5067,1028223.817,14.2808,1167607.2418
56,000001.SZ,20200331,12.8292,12.8685,12.5638,12.5834,12.721,-0.13760000000000083,-1.0817,513370.3,662915.471,12.7446,808055.628,12.489,1114618.65,14.3569,1183280.3942
57,000001.SZ,20200330,12.6326,12.8194,12.5441,12.721,12.9275,-0.20650000000000013,-1.5974,661738.79,852956.24,12.7073,941421.62,12.549,1181066.526,14.4393,1190455.6554
58,000001.SZ,20200327,13.0258,13.1536,12.8587,12.9275,12.839,0.0884999999999998,0.6893,653018.88,861618.663,12.5519,1023296.59,12.6286,1255512.865,14.513,1188931.8486
59,000001.SZ,20200326,12.5638,13.1143,12.5048,12.839,12.6522,0.18679999999999986,1.4764,1075192.43,1408651.057,12.4281,1208363.406,12.7633,1307187.557,14.5846,1196504.204
