,index_code,industry_name,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,code,cumulative_rank,new_quarter_eps,eps,rps,smr,eps_stability,decline_range,volume_ratio,period_date,ann_date
0,850111.SI,种子生产,100.0,227.0,84.14,191.0,93.0,211.0,99.56,226.0,93.4,212.0,95.6,217.0,93.4,212.0,000713.SZ,99.4,-25.0,90.9,97.1,87.3,82.1,-29.9,2.22,2019-12-31,2020-04-22
1,850111.SI,种子生产,100.0,227.0,84.14,191.0,93.0,211.0,99.56,226.0,93.4,212.0,95.6,217.0,93.4,212.0,002041.SZ,59.6,27.84,11.7,98.2,7.9,49.5,-10.3,1.14,2019-12-31,2020-04-22
2,850111.SI,种子生产,100.0,227.0,84.14,191.0,93.0,211.0,99.56,226.0,93.4,212.0,95.6,217.0,93.4,212.0,600313.SH,61.9,-42.66,4.8,92.7,36.7,79.5,-8.5,2.3,2019-12-31,2020-03-21
3,850111.SI,种子生产,100.0,227.0,84.14,191.0,93.0,211.0,99.56,226.0,93.4,212.0,95.6,217.0,93.4,212.0,600354.SH,21.0,21.88,4.3,51.2,33.6,88.2,-54.4,1.27,2019-12-31,2020-03-20
4,850112.SI,粮食种植,68.7,156.0,78.85,179.0,99.6,226.0,97.8,222.0,77.5,176.0,99.6,226.0,98.7,224.0,600598.SH,76.7,-13.11,40.8,95.0,65.0,46.8,-5.4,1.95,2019-12-31,2020-03-30
5,850113.SI,其他种植业,47.1,107.0,81.5,185.0,90.7,206.0,95.59,217.0,44.9,102.0,96.5,219.0,80.6,183.0,600506.SH,6.9,-267.74,13.0,20.4,23.4,94.7,-39.9,1.59,2019-12-31,2020-04-18
6,850113.SI,其他种植业,47.1,107.0,81.5,185.0,90.7,206.0,95.59,217.0,44.9,102.0,96.5,219.0,80.6,183.0,601118.SH,42.1,-43.17,7.3,66.5,70.5,95.3,-13.5,1.33,2019-12-31,2020-04-15
7,850113.SI,其他种植业,47.1,107.0,81.5,185.0,90.7,206.0,95.59,217.0,44.9,102.0,96.5,219.0,80.6,183.0,603336.SH,43.6,14.29,33.5,68.9,36.1,9.5,-29.6,2.02,2020-03-31,2020-04-21
8,850121.SI,海洋捕捞,22.9,52.0,81.06,184.0,66.5,151.0,85.46,194.0,58.6,133.0,86.8,197.0,58.6,133.0,000798.SZ,30.0,44.06,18.3,64.5,27.2,90.2,-18.8,1.73,2020-03-31,2020-04-23
9,850121.SI,海洋捕捞,22.9,52.0,81.06,184.0,66.5,151.0,85.46,194.0,58.6,133.0,86.8,197.0,58.6,133.0,600097.SH,72.8,20.0,98.8,49.7,46.3,82.5,-27.4,1.03,2020-03-31,2020-04-18
10,850122.SI,水产养殖,46.3,105.0,66.52,151.0,61.2,139.0,94.27,214.0,56.8,129.0,76.2,173.0,46.3,105.0,600467.SH,54.3,12.5,54.3,64.5,26.1,14.8,-22.6,2.1,2019-12-31,2020-04-24
11,850131.SI,林业,2.2,5.0,64.76,147.0,9.7,22.0,57.27,130.0,15.0,34.0,27.8,63.0,6.6,15.0,600265.SH,7.5,-6200.0,12.1,48.2,0.1,97.7,-27.7,0.69,2020-03-31,2020-04-24
12,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,000702.SZ,95.7,-83.21,98.3,62.3,98.4,87.7,-41.9,1.77,2019-12-31,2020-04-03
13,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,000876.SZ,99.9,205.0,84.2,99.1,91.3,53.0,-5.0,1.24,2019-12-31,2020-04-01
14,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,002157.SZ,99.3,311.76,97.2,78.1,96.4,82.8,-21.8,0.98,2020-03-31,2020-04-21
15,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,002311.SZ,98.4,150.0,66.5,93.9,87.5,36.9,-4.3,0.85,2020-03-31,2020-04-21
16,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,002548.SZ,50.6,145.33,6.9,63.5,76.8,73.1,-32.0,2.01,2019-12-31,2020-04-18
17,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,002891.SZ,30.3,20.84,31.4,24.0,46.0,33.0,-38.8,0.85,2020-03-31,2020-04-22
18,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,300673.SZ,12.1,-64.95,21.6,14.9,21.1,45.1,-54.8,0.67,2019-12-31,2020-04-20
19,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,603363.SH,76.2,775.0,16.5,81.6,98.6,76.3,-23.2,2.18,2020-03-31,2020-04-10
20,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,603609.SH,99.4,103.03,79.1,93.0,86.1,40.1,-2.2,1.72,2019-12-31,2020-03-31
21,850141.SI,饲料,90.7,206.0,20.26,46.0,97.8,222.0,95.15,216.0,93.0,211.0,98.2,223.0,96.9,220.0,603668.SH,59.3,-30.77,15.8,83.3,37.4,7.4,-23.0,0.93,2019-12-31,2020-02-28
22,850151.SI,果蔬加工,10.1,23.0,91.63,208.0,86.8,197.0,91.19,207.0,62.1,141.0,88.5,201.0,88.1,200.0,000972.SZ,23.5,101.82,1.8,59.6,23.7,91.3,-22.3,0.79,2019-12-31,2020-04-16
23,850151.SI,果蔬加工,10.1,23.0,91.63,208.0,86.8,197.0,91.19,207.0,62.1,141.0,88.5,201.0,88.1,200.0,600962.SH,66.9,-32.51,97.7,48.2,5.4,92.9,-29.1,1.59,2019-12-31,2020-04-01
24,850152.SI,粮油加工,76.2,173.0,100.0,227.0,100.0,227.0,100.0,227.0,100.0,227.0,100.0,227.0,100.0,227.0,600127.SH,78.0,125.0,7.4,99.8,62.5,88.6,0.0,1.3,2019-12-31,2020-04-03
25,850154.SI,其他农产品加工,9.7,22.0,74.01,168.0,90.3,205.0,92.95,211.0,73.1,166.0,89.4,203.0,84.1,191.0,000576.SZ,17.4,0.0,8.8,12.5,90.0,88.2,-48.6,1.67,2019-12-31,2020-03-28
26,850154.SI,其他农产品加工,9.7,22.0,74.01,168.0,90.3,205.0,92.95,211.0,73.1,166.0,89.4,203.0,84.1,191.0,300138.SZ,93.8,33.04,70.6,90.4,58.9,31.1,-2.3,1.25,2019-12-31,2020-04-21
27,850154.SI,其他农产品加工,9.7,22.0,74.01,168.0,90.3,205.0,92.95,211.0,73.1,166.0,89.4,203.0,84.1,191.0,300268.SZ,65.1,-615.24,79.4,56.4,0.5,98.7,-25.3,0.67,2019-12-31,2020-04-21
28,850154.SI,其他农产品加工,9.7,22.0,74.01,168.0,90.3,205.0,92.95,211.0,73.1,166.0,89.4,203.0,84.1,191.0,600298.SH,90.9,27.99,62.9,90.4,58.5,34.7,-4.8,2.5,2020-03-31,2020-04-23
29,850154.SI,其他农产品加工,9.7,22.0,74.01,168.0,90.3,205.0,92.95,211.0,73.1,166.0,89.4,203.0,84.1,191.0,600873.SH,41.0,-27.27,29.9,51.2,30.3,43.1,-24.8,1.35,2020-03-31,2020-04-23
30,850161.SI,农业综合,48.9,111.0,90.75,206.0,40.5,92.0,86.34,196.0,55.5,126.0,63.9,145.0,26.9,61.0,300021.SZ,14.8,23.08,26.1,18.9,50.9,43.5,-44.9,3.28,2019-12-31,2020-04-10
