,index_code,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_name,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,date
0,850111.SI,100.0,227.0,11.45,26.0,81.9,186.0,61.23,139.0,6.6,15.0,种子生产,66.1,150.0,93.0,211.0,2020-05-28
1,850112.SI,68.7,156.0,3.52,8.0,98.2,223.0,1.76,4.0,3.1,7.0,粮食种植,49.3,112.0,97.8,222.0,2020-05-28
2,850113.SI,47.1,107.0,1.32,3.0,90.7,206.0,5.73,13.0,86.8,197.0,其他种植业,87.2,198.0,85.5,194.0,2020-05-28
3,850121.SI,22.9,52.0,87.67,199.0,51.1,116.0,84.14,191.0,79.3,180.0,海洋捕捞,7.9,18.0,30.0,68.0,2020-05-28
4,850122.SI,46.3,105.0,29.96,68.0,28.2,64.0,79.74,181.0,45.4,103.0,水产养殖,9.7,22.0,11.0,25.0,2020-05-28
5,850131.SI,2.2,5.0,3.08,7.0,3.1,7.0,55.51,126.0,26.0,59.0,林业,7.0,16.0,1.3,3.0,2020-05-28
6,850141.SI,90.7,206.0,8.81,20.0,91.6,208.0,11.01,25.0,2.2,5.0,饲料,11.5,26.0,78.4,178.0,2020-05-28
7,850151.SI,10.1,23.0,27.75,63.0,80.2,182.0,25.11,57.0,82.4,187.0,果蔬加工,58.6,133.0,73.6,167.0,2020-05-28
8,850152.SI,76.2,173.0,0.88,2.0,100.0,227.0,47.58,108.0,53.7,122.0,粮油加工,55.9,127.0,99.6,226.0,2020-05-28
9,850154.SI,9.7,22.0,32.6,74.0,84.6,192.0,60.79,138.0,44.5,101.0,其他农产品加工,52.0,118.0,73.1,166.0,2020-05-28
10,850161.SI,48.9,111.0,28.19,64.0,12.8,29.0,0.44,1.0,23.3,53.0,农业综合,18.5,42.0,11.9,27.0,2020-05-28
11,850171.SI,77.1,175.0,20.26,46.0,47.6,108.0,17.18,39.0,5.7,13.0,畜禽养殖,4.8,11.0,5.3,12.0,2020-05-28
12,850181.SI,86.8,197.0,10.13,23.0,92.1,209.0,7.49,17.0,19.4,44.0,动物保健,81.1,184.0,66.1,150.0,2020-05-28
13,850211.SI,18.9,43.0,56.83,129.0,1.8,4.0,7.93,18.0,18.5,42.0,石油开采,10.6,24.0,0.9,2.0,2020-05-28
14,850221.SI,18.5,42.0,50.66,115.0,20.7,47.0,74.45,169.0,68.3,155.0,煤炭开采,44.9,102.0,19.4,44.0,2020-05-28
15,850222.SI,3.5,8.0,22.47,51.0,4.4,10.0,82.82,188.0,63.4,144.0,焦炭加工,26.9,61.0,8.4,19.0,2020-05-28
16,850231.SI,25.1,57.0,88.11,200.0,16.3,37.0,63.0,143.0,64.3,146.0,其他采掘,38.3,87.0,21.6,49.0,2020-05-28
17,850241.SI,52.0,118.0,58.59,133.0,1.3,3.0,15.86,36.0,20.7,47.0,油气钻采服务,6.2,14.0,1.8,4.0,2020-05-28
18,850242.SI,4.8,11.0,99.56,226.0,76.2,173.0,97.36,221.0,93.0,211.0,其他采掘服务,96.0,218.0,76.2,173.0,2020-05-28
19,850311.SI,38.8,88.0,57.71,131.0,17.6,40.0,26.87,61.0,25.1,57.0,石油加工,13.7,31.0,15.0,34.0,2020-05-28
20,850313.SI,56.8,129.0,35.68,81.0,28.6,65.0,36.12,82.0,38.8,88.0,石油贸易,14.1,32.0,25.1,57.0,2020-05-28
21,850321.SI,34.8,79.0,59.47,135.0,2.6,6.0,31.72,72.0,14.5,33.0,纯碱,3.5,8.0,3.1,7.0,2020-05-28
