,股票代码,综合排名,最新季报增长率,EPS,股价强度,SMR,收益额增长稳定性,ROE,年度新高,量比变化,,行业板块,行业板块强度,季报日期,公告日,港股持股比例,当日涨幅,最新业绩预告,预告下限,预告上线
,code,cumulative_rank,new_quarter_eps,eps,rps,smr,eps_stability,roe,decline_range,volume_ratio,index_code,industry_name,industry_rps,period_date,ann_date,hk_hold,pct_chg,forecast,p_change_min,p_change_max
0,000001.SZ,42.5,5.26,48.5,52.7,68.8,1.2,10.1966,-27.2,0.92,851911.SI,银行,13.7,2020-03-31,2020-04-21,8.08,-0.32,,,
1,000002.SZ,52.8,8.82,68.7,42.6,64.2,4.3,22.6117,-24.0,0.99,851811.SI,房地产开发,29.1,2020-03-31,2020-04-28,5.12,-0.55,,,
2,000004.SZ,63.0,-63.74,15.0,77.5,91.5,92.5,0.4135,-42.2,0.62,851512.SI,化学制剂,92.1,2020-03-31,2020-04-28,,-1.97,,,
3,000005.SZ,62.3,-17.86,98.0,47.0,42.8,77.6,4.3769,-35.2,0.49,851641.SI,环保工程及服务,26.4,2020-03-31,2020-04-30,0.0,1.14,,,
4,000005.SZ,62.3,-17.86,98.0,47.0,42.8,77.6,11.1282,-35.2,0.49,851641.SI,环保工程及服务,26.4,2020-03-31,2020-04-30,0.0,1.14,,,
5,000006.SZ,65.2,15.47,43.1,65.6,87.7,46.6,12.3892,-1.3,0.88,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,1.1,2.8,,,
6,000007.SZ,31.3,-356.03,5.8,77.5,9.5,81.5,11.1421,-20.4,0.93,852051.SI,一般物业经营,66.5,2020-03-31,2020-04-30,,0.0,,,
7,000008.SZ,12.2,-1111.9,58.1,21.1,3.3,76.4,5.8816,-31.1,0.62,850936.SI,铁路设备,6.6,2020-03-31,2020-04-30,0.61,-0.68,,,
8,000009.SZ,73.0,-39.06,69.7,82.9,4.6,34.3,5.5737,-13.3,0.87,852311.SI,综合,64.3,2020-03-31,2020-04-29,1.37,0.88,,,
9,000010.SZ,12.0,-508.57,2.4,64.6,4.0,92.2,10.742,-14.7,1.27,857251.SI,园林工程,12.8,2020-03-31,2020-04-30,,-1.56,,,
10,000011.SZ,88.6,59.54,74.1,89.4,92.1,99.9,25.218,-11.5,0.71,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,0.0,1.5,,,
11,000012.SZ,48.7,0.0,33.0,59.7,67.9,12.1,5.7685,-29.4,0.75,850611.SI,玻璃制造,55.1,2020-03-31,2020-04-30,3.12,-0.84,,,
12,000014.SZ,88.8,214.93,99.3,61.5,98.8,87.5,2.3745,-11.1,0.54,851811.SI,房地产开发,29.1,2020-03-31,2020-04-25,,-0.58,,,
13,000016.SZ,89.3,-358.03,99.8,88.4,55.8,95.9,2.622,-49.8,0.99,851121.SI,彩电,59.0,2020-03-31,2020-04-30,0.59,-3.12,,,
14,000017.SZ,4.7,-57.14,10.7,2.9,23.8,86.5,-67.0868,-63.9,0.58,858811.SI,其他交运设备,94.3,2020-03-31,2020-04-30,,-2.09,,,
15,000019.SZ,25.1,-31.62,18.2,65.6,39.9,53.8,8.4602,-30.9,0.5,852021.SI,贸易,21.6,2020-03-31,2020-04-28,0.52,-0.63,,,
16,000020.SZ,64.5,-255.56,88.9,39.5,15.5,66.6,1.6713,-27.4,0.61,850851.SI,电子系统组装,85.9,2020-03-31,2020-04-30,,0.31,,,
17,000021.SZ,99.0,-22.22,79.2,98.4,99.6,35.7,5.3344,-10.9,0.82,850851.SI,电子系统组装,85.9,2020-03-31,2020-04-30,1.36,-1.44,,,
18,000023.SZ,70.2,-177.37,91.3,72.6,13.3,94.6,11.2258,-26.1,0.61,850614.SI,其他建材,35.2,2020-03-31,2020-04-29,,-1.15,,,
19,000025.SZ,55.9,-80.03,92.6,30.0,30.0,48.0,18.9275,-26.7,0.91,850941.SI,汽车服务,52.4,2020-03-31,2020-04-28,0.29,-1.27,,,
20,000026.SZ,61.3,-120.04,71.1,71.2,26.6,30.3,8.265,-35.2,0.51,851434.SI,珠宝首饰,45.8,2020-03-31,2020-04-10,,-0.22,,,
21,000027.SZ,45.7,-43.0,76.7,25.1,56.3,61.2,6.282,-8.6,1.78,851611.SI,火电,16.7,2020-03-31,2020-04-30,0.76,0.42,预增,122.82,180.94
