,板块代码,,,,,,,本周强度,,3周强度,,,6周强度,,7个月强度,,,板块股票数,创新高股票数,涨幅超过5%数
,index_code,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_name,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,date,stock_totality,new_high_flag,percent_5_rise
0,850111.SI,100.0,227.0,0.44,1.0,74.0,168.0,74.89,170.0,20.7,47.0,种子生产,6.6,15.0,85.9,195.0,2020-06-23,8,0.0,1.0
1,850112.SI,68.7,156.0,3.52,8.0,96.9,220.0,14.98,34.0,11.0,25.0,粮食种植,2.2,5.0,95.2,216.0,2020-06-23,4,0.0,0.0
2,850113.SI,47.1,107.0,24.67,56.0,75.8,172.0,13.22,30.0,1.8,4.0,其他种植业,12.8,29.0,68.7,156.0,2020-06-23,6,0.0,0.0
3,850121.SI,22.9,52.0,11.01,25.0,34.8,79.0,12.78,29.0,10.1,23.0,海洋捕捞,38.8,88.0,29.5,67.0,2020-06-23,2,0.0,0.0
4,850122.SI,46.3,105.0,66.52,151.0,28.2,64.0,9.69,22.0,35.2,80.0,水产养殖,30.0,68.0,19.4,44.0,2020-06-23,7,0.0,0.0
5,850131.SI,2.2,5.0,0.88,2.0,14.1,32.0,0.44,1.0,78.4,178.0,林业,77.5,176.0,5.3,12.0,2020-06-23,3,0.0,0.0
6,850141.SI,90.7,206.0,5.29,12.0,87.2,198.0,75.33,171.0,68.3,155.0,饲料,15.0,34.0,82.8,188.0,2020-06-23,15,1.0,1.0
7,850151.SI,10.1,23.0,14.54,33.0,72.2,164.0,6.61,15.0,59.0,134.0,果蔬加工,47.6,108.0,67.4,153.0,2020-06-23,4,0.0,0.0
8,850152.SI,76.2,173.0,2.2,5.0,98.7,224.0,1.76,4.0,1.3,3.0,粮油加工,0.4,1.0,98.7,224.0,2020-06-23,3,0.0,0.0
9,850154.SI,9.7,22.0,76.65,174.0,82.8,188.0,56.39,128.0,86.8,197.0,其他农产品加工,57.3,130.0,79.3,180.0,2020-06-23,12,1.0,0.0
10,850161.SI,48.9,111.0,38.77,88.0,8.4,19.0,27.75,63.0,37.0,84.0,农业综合,6.2,14.0,9.3,21.0,2020-06-23,1,0.0,0.0
11,850171.SI,77.1,175.0,28.19,64.0,45.4,103.0,92.07,209.0,49.3,112.0,畜禽养殖,28.6,65.0,23.8,54.0,2020-06-23,13,1.0,0.0
12,850181.SI,86.8,197.0,85.9,195.0,94.3,214.0,79.3,180.0,91.2,207.0,动物保健,59.0,134.0,90.7,206.0,2020-06-23,8,1.0,0.0
13,850211.SI,18.9,43.0,59.47,135.0,1.3,3.0,55.07,125.0,13.7,31.0,石油开采,4.8,11.0,0.9,2.0,2020-06-23,3,0.0,0.0
14,850221.SI,18.5,42.0,60.35,137.0,11.5,26.0,70.48,160.0,23.3,53.0,煤炭开采,30.8,70.0,8.8,20.0,2020-06-23,29,0.0,2.0
15,850222.SI,3.5,8.0,23.79,54.0,5.3,12.0,44.93,102.0,44.9,102.0,焦炭加工,38.3,87.0,7.5,17.0,2020-06-23,9,0.0,0.0
16,850231.SI,25.1,57.0,87.67,199.0,33.5,76.0,76.65,174.0,85.9,195.0,其他采掘,83.3,189.0,27.3,62.0,2020-06-23,10,1.0,1.0
17,850241.SI,52.0,118.0,16.74,38.0,0.9,2.0,34.36,78.0,27.3,62.0,油气钻采服务,19.4,44.0,1.8,4.0,2020-06-23,14,0.0,0.0
18,850242.SI,4.8,11.0,42.73,97.0,58.1,132.0,15.86,36.0,15.0,34.0,其他采掘服务,61.7,140.0,59.5,135.0,2020-06-23,2,0.0,0.0
19,850311.SI,38.8,88.0,42.29,96.0,7.9,18.0,29.96,68.0,9.7,22.0,石油加工,7.0,16.0,4.4,10.0,2020-06-23,13,1.0,0.0
20,850313.SI,56.8,129.0,3.08,7.0,44.5,101.0,8.37,19.0,86.3,196.0,石油贸易,81.9,186.0,43.6,99.0,2020-06-23,5,0.0,0.0
21,850321.SI,34.8,79.0,38.33,87.0,2.6,6.0,23.79,54.0,15.4,35.0,纯碱,33.0,75.0,3.1,7.0,2020-06-23,5,0.0,0.0
22,850322.SI,78.9,179.0,51.54,117.0,15.4,35.0,53.74,122.0,24.7,56.0,氯碱,9.3,21.0,37.0,84.0,2020-06-23,16,0.0,0.0
